Term,Slope,Rank,Tenth term slope,Tenth term rank,Quarter term slope,Quarter term rank,Half term slope,Half term rank
mentioned,1.29642393743e-06,66,-3.47934336705e-06,61,2.8013001174e-05,27,-1.82837957052e-06,52
clinical trials,5.80241806197e-06,55,5.69466540915e-05,42,1.23651414257e-05,44,-1.87913174236e-05,70
PDL1 testing,5.33131165072e-05,7,0.000132756190913,23,1.33449610387e-05,42,7.41198590127e-05,3
indication,2.27020212126e-05,24,-9.14559214538e-06,64,6.97230443547e-06,48,-3.57502129354e-06,54
PFS,1.74938267645e-05,33,-0.000177253698096,98,-0.000107856248637,99,-6.86806080814e-05,99
AI,1.52977654737e-05,39,-0.000152410062007,94,-4.48758459742e-05,79,-4.16122307629e-06,55
NSCLC patients,3.3510845155e-05,16,0.000201847886289,8,2.30059887709e-05,30,5.60335578952e-05,8
PD1,-2.9883951497e-05,85,0.000178205369675,13,-7.08768875145e-05,89,-3.29534838704e-05,86
oncology,4.80321778152e-06,58,-0.000107349150853,88,3.02087098278e-05,23,2.9309040775e-05,12
ORR,1.63821979558e-05,35,-0.000134692208198,93,-9.40932153663e-05,96,-7.2389619089e-05,100
approved,1.43828005333e-05,42,8.4581035878e-06,57,4.29887476473e-06,52,7.33426441909e-06,37
SCCHN,1.93764580947e-05,26,0.0001539337768,16,5.92863748726e-05,8,1.74855074053e-05,21
HCP,1.88986756177e-06,64,3.15856583998e-05,51,5.17153308286e-05,11,7.8079650303e-06,36
cHL,-3.6410782905e-05,89,-1.75184752192e-05,68,-2.63836073497e-05,70,-2.36853543649e-05,77
lung cancer,1.68915369425e-06,65,4.83742080411e-05,45,1.22152554444e-05,46,1.08728623901e-05,33
nivo and pembro,4.58755292813e-05,9,5.17621153402e-05,43,-0.000109769516848,100,-4.47313716002e-05,93
progression,-5.5944440772e-05,98,-7.25938363848e-05,81,-7.61088995891e-06,60,-1.20912834304e-05,65
ASCO,-6.07022095537e-07,67,-4.79844829029e-05,77,1.50733579599e-05,39,-1.98791260481e-05,71
believes,1.76588408957e-05,32,1.18566016324e-05,56,-7.93172189057e-05,92,-2.70413357802e-05,82
chemotherapy,-3.34659082557e-05,88,0.000102718918268,34,-5.51079204158e-05,83,-3.67537761345e-05,87
impressed,8.48214107527e-06,49,-7.80132748695e-05,83,1.94785582754e-06,54,-4.43627242851e-05,92
tumor types,1.24611752742e-05,44,0.000148150212294,19,1.38377742679e-05,41,1.78828262716e-05,20
vs,1.76950711054e-05,31,4.46768369837e-05,47,-7.18908104095e-05,90,-3.71431978171e-05,88
label,8.86178364457e-06,48,-7.5291968485e-06,62,1.26877163237e-05,43,1.23173195155e-06,48
oncologist,-7.8420868155e-06,71,3.19131910999e-05,50,6.95265563024e-05,3,2.16962889107e-05,14
indicated,3.76040784887e-06,60,-1.17488446107e-05,65,3.49271330798e-05,17,7.14229489937e-06,38
LTL,1.17234965859e-05,46,8.45541790926e-05,38,4.23790530021e-05,15,1.59377314427e-06,47
respond,-4.40630610936e-05,91,-0.000123786177942,91,1.51328846142e-05,38,-1.87235818211e-05,69
drug,-1.29403112163e-05,76,-9.19158629381e-05,86,6.60216325386e-06,49,4.86913643796e-06,41
Keytruda,1.21811312644e-05,45,-4.14543011999e-05,76,-3.43416902475e-06,58,1.36964306137e-05,26
TLs,3.41457524912e-05,15,4.31447417307e-05,48,1.07941337504e-06,56,1.83961720559e-06,45
clinical,6.81281395717e-06,50,-0.000153847742968,95,1.92177347912e-05,33,1.71205318016e-05,22
academic,6.58148347514e-06,52,4.61210766749e-05,46,2.88988351714e-05,24,1.24206174258e-05,30
SCLC,-6.28112751477e-07,68,-3.28865494596e-05,71,-8.10653438233e-06,61,-2.49533510476e-05,79
feels,-3.34725737801e-06,69,1.9124549721e-05,55,-2.15231624006e-05,67,-4.28677662467e-05,91
assay,5.73921520812e-05,3,0.000103732596299,33,5.04277107862e-06,50,5.81406003123e-05,5
immunotherapy,-2.54538834082e-05,83,0.000113358376652,27,-2.19254829261e-05,68,-6.29972123457e-06,59
PD-1,3.25064022077e-06,61,0.000251921449389,3,-4.44608891817e-05,78,1.82115426515e-05,19
Regional TL,1.35461453277e-05,43,0.000109856318266,30,6.21853023709e-05,6,1.27082640358e-05,28
RTL stated,2.61632322801e-06,63,0.000274869189757,2,3.68061841012e-05,16,1.82840894996e-05,18
TL shared,-9.6079148477e-06,73,0.000144187276681,22,5.95997293748e-05,7,1.8493600707e-05,17
PDL1 expression,4.80432039283e-05,8,2.46101102137e-05,53,-0.000103959315363,98,-2.60386563747e-05,80
option,-8.85892188102e-06,72,0.000147646522718,20,-3.49945339998e-05,75,-1.14931406831e-05,63
biomarker,3.86059446107e-05,12,9.38761983878e-05,36,-6.50414383868e-05,87,1.07295597184e-05,34
NCCN,2.29181915335e-05,23,-0.00017414427575,97,1.40916181713e-05,40,1.3779659352e-05,25
bladder,1.70127933216e-05,34,0.000181300396942,12,1.95124914417e-05,31,6.66507573563e-06,39
flat dosing,5.17779028511e-06,57,-8.51437307864e-05,85,1.83876765641e-05,34,3.38109529178e-06,43
