term,subset,value,odds_ratio,p_value,exact_matches,conceptual_matches,Text 1,Text 2,Text 3,total_matches
discount,Segmentation,,62.5416666667,4.95413217825e-06,7,98,"Per the DBM:
""Apparently, Genetech is currently providing a discount with several large community privately owned accounts across the nation, as well as a rebate similar to ours.  What they offer is as follows:

1)	1% rebate through McKesson (similar to our contract) for all infusible products (Tecentriq was included in this when approved for bladder cancer).
2)	In addition to the 1% rebate for all customers, for the large community private accounts, they are also offering an upfront discount of 4.3% + ASP.  It is not performance based (no growth or volume component) and is adjusted quarterly based on ASP.  This discount may be also occurring through McKesson, but not entirely sure if this is how it is executed or goes directly to the account. Hopefully it is through McKesson, so internal folks can follow up.""","Myself and Francis Lobo, HEOR met  with Michael Lessard, Pharmacy Director at Dartmouth Hitchcock and we had a  discussion around our Oncology portfolio and no real concerns regarding NSCLC and Opdivo.  Customer continues to cover Opdivo to label and have no plans on changing that. We reinforced our strong clinical profile in our approved indications and they believe in our data. Although they did request that we give discount for orphan drug for all classes of 340 b accounts. Currently we give discount for DSH account but not Rural Referral Center which they are.","Josh Whittington, HSL reports that at CCK in Wichita, KS, that they are already receiving contracting discounts on all infusible Genentech products, including Tecentriq.  I believe it is 4.3%.",105
HEOR,Segmentation,,55.5925925926,1.5815244376e-10,16,20,"Myself and Francis Lobo, HEOR met  with Michael Lessard, Pharmacy Director at Dartmouth Hitchcock and we had a  discussion around our Oncology portfolio and no real concerns regarding NSCLC and Opdivo.  Customer continues to cover Opdivo to label and have no plans on changing that. We reinforced our strong clinical profile in our approved indications and they believe in our data. Although they did request that we give discount for orphan drug for all classes of 340 b accounts. Currently we give discount for DSH account but not Rural Referral Center which they are.",BCBS SC Jan 1st they are moving to incorporate ICER recommendations in their reviews. HEOR provided update on ICER and outlined the methodology. Pharmacy Director said that he would allow us to provide additional updates/ information that is not included in the 1 year assessment period.  They are also reviewing the drugs that are rejected by the EU and looking for consistency with their formulary management.,Cigna AVP of Pharma Contracting inquired about the BMS position on recent NICE and ICER negative comments on Opdivo and I/O therapy in general.  NAE and HEOR Director deferred the question to a later date as we did not feel adequately prepared to respond at this time.,36
policy,Segmentation,,52.1180555556,5.48828865457e-07,18,128,Group Health NW has CONFIRMED that the P&T decision 'against' coverage for Opdivo ns-NSCLC coverage has been OVERTURNED by Medical Policy Committee.  Medical Policy will be published for coverage at a future date.,"Medical Mutual (Regional payer/ESI downstream):  During a recent post-ESMO call w/ MM clinical pharmacists and BMS HSL/HEOR, MM revealed their current medical policies for PD-1 agents (ie Keytruda) are non-restrictive; currently no PD-L1 testing requirement language is included in medical policy for use in NSCLC; MM uses Care Continuum to manage medical policies; also mentioned they monitor drug spend based on annualized cost; will follow up with customer in early Q1 around updates they have related to medical policy and management of PD-1s","PBM customer writes Medical Policy for clients and found this (unsolicited requested) ESMO update very valuable. SVP of Pharmacy was speculating that in the future, the efficacy of the PD1s will be considered class effect and commoditize the class. 
Right now he will continue to have all Medical Policies follow FDA labels.",146
pharmacy,Segmentation,,47.8259803922,1.74373724388e-15,29,48,"Myself and Francis Lobo, HEOR met  with Michael Lessard, Pharmacy Director at Dartmouth Hitchcock and we had a  discussion around our Oncology portfolio and no real concerns regarding NSCLC and Opdivo.  Customer continues to cover Opdivo to label and have no plans on changing that. We reinforced our strong clinical profile in our approved indications and they believe in our data. Although they did request that we give discount for orphan drug for all classes of 340 b accounts. Currently we give discount for DSH account but not Rural Referral Center which they are.","Michael Lessard, Pharmacy Operations Director at Dartmouth Hitchcock reports that the following companies are giving 340 B discounts on Orphan Drugs: Amgen; J&J; Ipsen; Grifols and Abbvie.",BCBS SC Jan 1st they are moving to incorporate ICER recommendations in their reviews. HEOR provided update on ICER and outlined the methodology. Pharmacy Director said that he would allow us to provide additional updates/ information that is not included in the 1 year assessment period.  They are also reviewing the drugs that are rejected by the EU and looking for consistency with their formulary management.,77
health,Segmentation,,41.6944444444,7.796652154e-10,25,0,"Met with Director, Oncology Pharmacy for Monterfiore Health with fHEOR. Discussed NSCLC, were informed that demand for Opdivo hasn't slowed down, in spite of 1L Lung (026) trial results. Lung cancer is their #1 tumor they see. They havent seen much increase in demand for Keytruda.  Oncology DOP said they will look to evaluate and narrow PD-1, PD-L1 inhibitors as more continue to come to market. Very interested in understanding the value that Opdivo brings, and wants to continua to meet & discuss.",Group Health NW has CONFIRMED that the P&T decision 'against' coverage for Opdivo ns-NSCLC coverage has been OVERTURNED by Medical Policy Committee.  Medical Policy will be published for coverage at a future date.,OpdivoFlat Dose: Group Health NW shared that for their 'closed' book of business (450K lives) they will be enforcing a blended dosing approach (weight based up to 80Kg and 240 mg flat dose above 80Kg).  The rationale provided was cost savings and minimization of waste.,25
feedback,Segmentation,,35.7380952381,2.24002614025e-05,10,8,"A number of significant customers have brought up the Opdivo commercial, and while they ""mainly"" agree in DTC, they have issue with this commercial. This was feedback, unrequested at two payers, and one IDN. They feel the commercial overstates the value and due to the specialty drug class can not convey the story well to bring value to patients. Not popular feedback, but wanted to ensure the brand team heard this from our customers. Please reach out if you would like additional information.","In meeting with Florida State Medicaid this past week, they are going to review Opdivo Emplicit and Sprycel n September. Currently, state has very limited knowledge, even thinking at this meeting that our products are in the chemotherapy class. 

Working closely with internal team on plan, but initial feedback from State is this is more procedural this year for their own compliance in reviewing these classes, versus a competitive review. This will be a Mass review. In speaking with PBM, they mentioned that Florida is 1st, but also that Minnesota is also considering a review in the future.","Feedback from Large Payor that they are updating their Opdivo Policy for RCC, based on the NCCN Guidelines update.",18
class,Segmentation,,29.1861111111,5.52973169687e-08,21,0,"Dickenson Community Hospital has recently been affected by the 340-b orphan drug court order and the enforcement of our policy around this issue.  In a previous meeting, The Director of Pharmacy Laura Casanova and the Oncology Pharmacist Mark Hagen stated they were going to contact each Pharmaceutical company and request they supply a contract to compensate for their lack of pricing for the 340-b orphan drugs. They stated they would move all utilization to drugs that have contracts and restrict those that do not. 

I  followed-up with the account and reinforced the BMS policy as it relates to ?newly eligible? 340-b entities and orphan drugs.  I then shifted the conversation away from cost and moved into value of our medicines, patient assistance program and our reimbursement support. 

Mark Hagen did not mention Merck or anything they might be offering to address this situation.  The conversation moved away from what he addressed in our last discussion of restricting one agent over another based on contract offering.  I believe Mark realized he needs to move his energy away from restricting these important drugs and focus on other ways to address the 340-b issue.   He said he is going to check into other wholesalers for potential better contracts for specialty drugs, look into getting his class of trade status changed, and potentially setting up his purchasing into in-patient and out-patient outlets to potentially move away from in-patient bundle payments from Medicaid/Medicare where he feels he is losing money.","PBM customer writes Medical Policy for clients and found this (unsolicited requested) ESMO update very valuable. SVP of Pharmacy was speculating that in the future, the efficacy of the PD1s will be considered class effect and commoditize the class. 
Right now he will continue to have all Medical Policies follow FDA labels.","Montefiore Health Pharmacy team is looking to do PD-1, & PD-L1 inhibitor class review as more products come out. Breadth of indications and having Phase III trials will be important considerations of value. They are trying to determine Biomarker.PD-L1 testing strategy. Want to learn from the cetuximab-KRAS mutation efficacy issue. They understand BMS strategy of all comers in trials, no PD-L1 testing required, efficacy in  expressors and non-expressors.",21
models,Segmentation,,27.7962962963,4.72046316299e-05,12,4,"Customer discussed future possibility of establishing a ""PDL 1"" preferred agent based on broad clinical profile, efficacy and cost.  Inquired if BMS would consider any preferred pricing model when these types of decisions are being made.","Oncology Care Model (OCM):  during meeting with CEO of large community oncology (OCM) practice, was informed that CMS has near term intention of 'expanding' the number of OCM sites.  No ETA was given; only the suggestion that it would be soon.  CEO sited CMS lead comments during recent teleconference.","HEOR and I met with large academic IDN who shared that they are planning to head in a direction of managing access to oncology medications. Customers were interested in discussions/partnership pertaining to a need and development of a tool - using Epidemiological data and Budget modeling. Examples of current gaps include, EPI data, ability to estimate cost when there is an indication update or change of therapy and adjust for things like site of care and risk stratification. 

They are interested in Combining this type of data with clinical outcomes to make the best health economic and outcomes decision. Customer shared that they are interested in having best opportunity to leverage tools and technology at their disposal to treat disease.",16
product,Segmentation,,22.3363095238,7.71614115636e-10,37,20,"Large PBM quote:

The reason for Price Protection should be self-evident in the media ? price inflation of prescription drugs has been excessive and exposes our clients to unpredictable costs when setting budgets/premiums/etc.   

As a result, clients are demanding that we enter ?fixed cost? contracts where the pricing of a product is predetermined based on a set WAC during the course of an agreement, or else a Price Protection ceiling above which the net cost effect of a manufacturer?s pricing strategy will not affect the plan?s cost for the product. 

Additionally, when looking to prefer products, Price Protection is becoming an increasingly important feature of rebate contracts. For example, if I have price protection for Xarelto and Pradaxa, but not Eliquis, clients may be inclined to select your competitors because of the predictable nature of the spend.   A single price increase by BMS/Pfizer could wipe out much or all of the rebate value for a plan over the course of a contract If they select your  product, while they can be assured that the decision to prefer the other products would make sure a plan can?t go too far astray during the life of the contract for competitors offering PP.","Oncology Clinical Pharmacist at Beth Israel Deaconness Hospital in Boston stated that he believes that if A-Z's PD-1 product is approved in December it could lead to IDNs choosing 1 preferred agent if it enters the market at a reduced price.  He said it would be difficult if an IDN chose one product and a payer chose another product as their preferred agent, if that happened.","Per the DBM:
""Apparently, Genetech is currently providing a discount with several large community privately owned accounts across the nation, as well as a rebate similar to ours.  What they offer is as follows:

1)	1% rebate through McKesson (similar to our contract) for all infusible products (Tecentriq was included in this when approved for bladder cancer).
2)	In addition to the 1% rebate for all customers, for the large community private accounts, they are also offering an upfront discount of 4.3% + ASP.  It is not performance based (no growth or volume component) and is adjusted quarterly based on ASP.  This discount may be also occurring through McKesson, but not entirely sure if this is how it is executed or goes directly to the account. Hopefully it is through McKesson, so internal folks can follow up.""",57
Director,Segmentation,,17.0568181818,6.15371889214e-06,41,32,"Myself and Francis Lobo, HEOR met  with Michael Lessard, Pharmacy Director at Dartmouth Hitchcock and we had a  discussion around our Oncology portfolio and no real concerns regarding NSCLC and Opdivo.  Customer continues to cover Opdivo to label and have no plans on changing that. We reinforced our strong clinical profile in our approved indications and they believe in our data. Although they did request that we give discount for orphan drug for all classes of 340 b accounts. Currently we give discount for DSH account but not Rural Referral Center which they are.","Michael Lessard, Pharmacy Operations Director at Dartmouth Hitchcock reports that the following companies are giving 340 B discounts on Orphan Drugs: Amgen; J&J; Ipsen; Grifols and Abbvie.",BCBS SC Jan 1st they are moving to incorporate ICER recommendations in their reviews. HEOR provided update on ICER and outlined the methodology. Pharmacy Director said that he would allow us to provide additional updates/ information that is not included in the 1 year assessment period.  They are also reviewing the drugs that are rejected by the EU and looking for consistency with their formulary management.,73
large academic center stated,Segmentation,  Access Influencers,38.2857142857,9.57083335361e-10,25,347,"-NTL at a large academic center stated that there will be a symposium in San Francisco in sept which will be set up as a debate with him and another NTL 
o	Other NTL ? will be taking stance of PD1 inhibitors as replacement of allo transplant which he will",NTL on the NCCN panel at a large academic center stated that she has some concerns for the increase in mortality with allo transplant after getting OPDIVO.  She would like to see additional data regarding follow up of data.,NTL at a large academic center  stated that there needs ot be F/u discussion on the Lugano Classification updates just published and implementation into practice and clarification for clinicians making clinical assesemen.   He stated that discussion on the abscopal effect seen in Lymphoma how it affects management ? discussion points to be clarified,372
NCCN institution,Segmentation,  Access Influencers,26.5054945055,4.7218577687e-05,16,109,"A leading kidney cancer specialist from an NCCN institution in the Northeast commented that no oncologist in his institution tests for PD-L1 levels before initiating anti-PD1 therapy in RCC.  This is also true of his colleagues nationally.  He does not see the logic in testing for PD-L1 levels to choose between a new TKI and immuno-oncology agents.  As nivolumab has a broad approval in RCC, he does not anticipate payers asking for PD-L1 tests nor denying claims for lack of prior testing.","A NSCLC guidelines panelist representing a Northeast NCCN institution admitted that the evidence blocks are inaccurate and subjective.  As a surgeon, he routinely abstain from commenting on these.  According to this panelist, neither the guidelines nor the evidence blocks are intended to be used as tools to exclude any therapy from clinical consideration or reimbursement.  In this institution, there is a formal process to solicit comments from medical oncologists on potential treatment updates to the guidelines, which are consolidated and presented at the panel by their representative (a surgeon).","I met with possible new NCCN panel member in renal at NCCN institution.

On the renal agents (Cabo, Nivo mostly) she felt there was not a big difference from efficacy standpoint right now.  Stated that a different MOA means essentially nothing if results and safety data are same.  Does not safety issues are ""different"" but she has a lot of concern for the ""itis"" AEs of IO agents.  Stated she sees much less renal than in past.  Mostly bladder and prostate.",125
NTL,Segmentation,  Access Influencers,5.62742282843,6.46550803633e-06,311,710,"-NTL at a large academic center stated that there will be a symposium in San Francisco in sept which will be set up as a debate with him and another NTL 
o	Other NTL ? will be taking stance of PD1 inhibitors as replacement of allo transplant which he will",NTL at a large academic center  stated that there needs ot be F/u discussion on the Lugano Classification updates just published and implementation into practice and clarification for clinicians making clinical assesemen.   He stated that discussion on the abscopal effect seen in Lymphoma how it affects management ? discussion points to be clarified,NTL on the NCCN panel at a large academic center stated that she has some concerns for the increase in mortality with allo transplant after getting OPDIVO.  She would like to see additional data regarding follow up of data.,1021
