term	subset	value	exact_matches	conceptual_matches	total_matches	
large academic center stated	Segmentation	  Scientific Experts	25	347	372	
National TL	Segmentation	  Scientific Experts	51	544	595	
NTL	Segmentation	  Scientific Experts	311	710	1021	
said	Segmentation	  Scientific Experts	479	0	479	
NCCN institution	Segmentation	 Access Decision Makers	16	109	125	
Path TL	Segmentation	 Access Decision Makers	18	230	248	
large academic center stated	Segmentation	 Access Decision Makers	25	347	372	
NTL	Segmentation	 Access Decision Makers	311	710	1021	
AI stated	Segmentation	 Access Influencers	24	171	195	
provided the following unsolicited insights	Segmentation	 Access Influencers	45	146	191	
shared the following unsolicited insights	Segmentation	 Access Influencers	26	724	750	
NCCN panelist for NSCLC	Segmentation	 Access Influencers	11	482	493	
RAI	Segmentation	 Access Influencers	15	701	716	
Met with a national/regional lung	Segmentation	 Access Influencers	10	211	221	
AI/TL post-ESMO	Segmentation	 Access Influencers	9	660	669	
AI/TL	Segmentation	 Access Influencers	27	661	688	
advisor	Segmentation	 Access Influencers	27	231	258	
NSCLC NCCN panelist	Segmentation	 Access Influencers	17	665	682	
AI	Segmentation	 Access Influencers	121	70	191	
context of an online lecture	Segmentation	 Access Influencers	7	659	666	
NAI	Segmentation	 Access Influencers	7	282	289	
NCCN 2016 Webex Congress Series	Segmentation	 Access Influencers	7	657	664	
proactive meeting to discuss CM-026	Segmentation	 Access Influencers	7	257	264	
southeast region	Segmentation	 Access Influencers	7	169	176	
Met with a national	Segmentation	 Access Influencers	25	644	669	
panelist	Segmentation	 Access Influencers	134	164	298	
Met with a regional	Segmentation	 Access Influencers	21	174	195	
NCCN center in the midwest stated	Segmentation	 Access Influencers	12	299	311	
international GI conference	Segmentation	 Clinical Practice Influencers	17	43	60	
ie	Segmentation	 Clinical Practice Influencers	52	0	52	
RTL	Segmentation	 Clinical Practice Influencers	690	801	1491	
billing	Segmentation	 Economic/Value Influencers	9	11	20	
Local lung TL commented	Segmentation	 High Disease Burden Clinicians	14	0	14	
Local TL	Segmentation	 High Disease Burden Clinicians	52	1414	1466	
LTL	Segmentation	 High Disease Burden Clinicians	79	800	879	
Community TL	Segmentation	 High Disease Burden Clinicians	73	820	893	
community oncologist	Segmentation	 High Disease Burden Clinicians	57	939	996	
HCP	Segmentation	 High Disease Burden Clinicians	115	124	239	
Local	Segmentation	 High Disease Burden Clinicians	184	1056	1240	
IMAR management	Segmentation	 N/A	11	373	384	
dinner	Segmentation	 N/A	11	199	210	
IMAR	Segmentation	 N/A	27	141	168	
administration	Segmentation	 N/A	15	0	15	
nurse	Segmentation	 N/A	41	193	234	
staff	Segmentation	 N/A	27	72	99	
algorithms	Segmentation	 N/A	32	234	266	
large community practice	Segmentation	 N/A	42	1884	1926	
IMARs	Segmentation	 N/A	34	278	312	
indicated	Segmentation	 N/A	79	459	538	
noted	Segmentation	 N/A	144	0	144	
practice	Segmentation	 N/A	258	718	976	
NW territory	Segmentation	 Scientific Experts	14	1448	1462	
Dako	Segmentation	 Scientific Experts	17	124	141	
Lung RTL shared	Segmentation	 Scientific Experts	15	59	74	
SP142	Segmentation	 Scientific Experts	17	146	163	
pathologist	Segmentation	 Scientific Experts	45	211	256	
PD-1	Segmentation	 Scientific Experts	133	215	348	
sent	Segmentation	 Scientific Experts	64	529	593	
PD-L1 testing	Segmentation	 Scientific Experts	123	444	567	
cases	Segmentation	 Scientific Experts	117	0	117	
pts	Segmentation	 Scientific Experts	164	1624	1788	
NTL	Segmentation	 Scientific Experts	311	710	1021	
TL	Segmentation	 Scientific Experts	1157	51	1208	
2L	Territory		215	404	619	
lung TL said	Territory	  CLEVELAND	16	1110	1126	
atezi	Territory	  CLEVELAND	5	27	32	
Regional lung TL told	Territory	  CLEVELAND	21	2	23	
Fall ECOG	Territory	  CLEVELAND	4	148	152	
voiced his opinion	Territory	  CLEVELAND	7	16	23	
Local lung TL commented	Territory	  CLEVELAND	14	0	14	
isn	Territory	  CLEVELAND	11	106	117	
GR	Territory	  CLEVELAND	5	0	5	
second	Territory	  CLEVELAND	5	0	5	
H&N TL	Territory	  CLEVELAND	20	432	452	
sutent	Territory	  CLEVELAND	8	3	11	
TL told	Territory	  CLEVELAND	65	938	1003	
Local	Territory	  CLEVELAND	184	1056	1240	
t	Territory	  CLEVELAND	117	0	117	
doesn	Territory	  CLEVELAND	36	94	130	
TL said	Territory	  CLEVELAND	86	62	148	
said	Territory	  CLEVELAND	479	0	479	
line	Territory	  CLEVELAND	345	108	453	
told	Territory	  CLEVELAND	136	65	201	
national	Territory	  CLEVELAND	183	979	1162	
HCP	Territory	  FL PANHANDLE	115	124	239	
PD-L1 testing	Territory	  ACTICES & IMPLEMENTATION	123	444	567	
NW territory	Territory	  AK	14	1448	1462	
sky-rocketed	Territory	  AK	3	577	580	
NeoGenomics	Territory	  AK	8	554	562	
laboratory	Territory	  AK	7	1271	1278	
clone	Territory	  AK	5	149	154	
diagnostics	Territory	  AK	8	1288	1296	
medical director	Territory	  AK	8	365	373	
healthcare	Territory	  AK	6	688	694	
Ventana platform	Territory	  AK	7	145	152	
reflex testing	Territory	  AK	11	91	102	
medical oncologists	Territory	  AK	23	176	199	
platform	Territory	  AK	18	149	167	
IHC	Territory	  AK	25	536	561	
insights	Territory	  AK	137	0	137	
molecular	Territory	  AK	17	42	59	
SP142	Territory	  AK	17	146	163	
pathologist	Territory	  AK	45	211	256	
network	Territory	  AK	18	441	459	
pathology	Territory	  AK	19	213	232	
gained	Territory	  AK	19	86	105	
Pediatric	Territory	  AL	11	367	378	
regional TL shared	Territory	  AL	18	18	36	
achieved a CR	Territory	  AL	18	356	374	
offered	Territory	  AL	88	0	88	
TL shared	Territory	  AL	119	1081	1200	
academic center	Territory	  AL	103	319	422	
Regional TL	Territory	  AL	100	1088	1188	
nivolumab	Territory	  AL	335	5	340	
said	Territory	  AL	479	0	479	
Biodesix	Territory	  APE/COMPETITOR INFORMATION	4	34	38	
cabozatanib	Territory	  AR	13	190	203	
trx	Territory	  AR	10	0	10	
pace	Territory	  AR	8	208	216	
aPD1	Territory	  AR	7	635	642	
Pan-tumor	Territory	  AR	18	464	482	
Pediatric	Territory	  AR	11	367	378	
ie	Territory	  AR	52	0	52	
modest	Territory	  AR	9	142	151	
2L+	Territory	  AR	12	334	346	
GU RTL stated	Territory	  AR	13	433	446	
Pan	Territory	  AR	10	0	10	
IL-2	Territory	  AR	16	48	64	
not test for PDL1	Territory	  AR	14	651	665	
axitinib	Territory	  AR	14	482	496	
HN	Territory	  AR	21	1	22	
GU	Territory	  AR	84	815	899	
nearly	Territory	  AR	23	0	23	
completely	Territory	  AR	26	3	29	
testing for PDL1	Territory	  AR	39	575	614	
Ipi+Nivo	Territory	  AR	45	338	383	
PTCL	Territory	  ATION/ ISRS	3	139	142	
Numerous TLs	Territory	  AZ	6	253	259	
tone	Territory	  AZ	4	0	4	
restriction	Territory	  AZ	6	16	22	
AE profile	Territory	  AZ	14	338	352	
comers	Territory	  AZ	20	0	20	
q3wk	Territory	  AZ	14	425	439	
TLs	Territory	  AZ	98	6	104	
established	Territory	  AZ	17	0	17	
IO-IO	Territory	  AZ	21	757	778	
highly	Territory	  AZ	30	34	64	
key	Territory	  AZ	37	0	37	
PDL1 status	Territory	  AZ	39	874	913	
SOC	Territory	  AZ	69	492	561	
specifically	Territory	  AZ	50	48	98	
regards	Territory	  AZ	112	0	112	
increase	Territory	  AZ	113	36	149	
indication	Territory	  AZ	99	0	99	
population	Territory	  AZ	222	248	470	
IO	Territory	  AZ	242	52	294	
1L	Territory	  AZ	288	292	580	
Numerous TLs	Territory	  CO	6	253	259	
tone	Territory	  CO	4	0	4	
AE profile	Territory	  CO	14	338	352	
like to see a trial	Territory	  CO	15	14	29	
comers	Territory	  CO	20	0	20	
TLs	Territory	  CO	98	6	104	
highly	Territory	  CO	30	34	64	
regards	Territory	  CO	112	0	112	
IO	Territory	  CO	242	52	294	
Path TL	Territory	  CT	18	230	248	
southeast region	Territory	  CT	7	169	176	
cHD	Territory	  CT	6	318	324	
gathered the following unsolicited	Territory	  CT	6	175	181	
Ritchie	Territory	  CT	6	170	176	
Path	Territory	  CT	19	0	19	
NCI-designated	Territory	  CT	8	157	165	
Joseph	Territory	  CT	7	170	177	
1st line NSCLC	Territory	  CT	17	26	43	
evolving	Territory	  CT	10	77	87	
reflex testing	Territory	  CT	11	91	102	
comparable	Territory	  CT	13	498	511	
score	Territory	  CT	21	156	177	
Boston	Territory	  CT	40	82	122	
pathologist	Territory	  CT	45	211	256	
22C3	Territory	  CT	49	112	161	
order	Territory	  CT	55	550	605	
1st line	Territory	  CT	69	712	781	
pts	Territory	  CT	164	1624	1788	
PD-L1	Territory	  CT	306	375	681	
corticosteroids	Territory	  DE	17	260	277	
thought leader	Territory	  DE	25	22	47	
National TL	Territory	  DE	51	544	595	
competitor	Territory	  DE	33	0	33	
major	Territory	  DE	90	483	573	
PDL-1	Territory	  DE	50	881	931	
Regional TL	Territory	  DE	100	1088	1188	
reported	Territory	  DE	182	10	192	
auto	Territory	  FL	15	204	219	
pt	Territory	  FL	67	23	90	
reported	Territory	  FL	182	10	192	
regional TL shared	Territory	  GA	18	18	36	
anti-PD1	Territory	  GA	38	55	93	
TL told	Territory	  GA	65	938	1003	
TL shared	Territory	  GA	119	1081	1200	
commented	Territory	  GA	295	327	622	
cytology	Territory	  HI	4	159	163	
volume	Territory	  HI	31	9	40	
in-house	Territory	  HI	25	127	152	
score	Territory	  HI	21	156	177	
requests	Territory	  HI	61	545	606	
RTL from a major academic institution	Territory	  IA	20	232	252	
community institution	Territory	  IA	31	221	252	
026 Top 300	Territory	  IA	7	245	252	
large community institution	Territory	  IA	13	1371	1384	
NOT Top 300	Territory	  IA	4	248	252	
academic institution mentioned	Territory	  IA	14	47	61	
single-agent	Territory	  IA	5	0	5	
KEYNOTE-024	Territory	  IA	19	76	95	
opted	Territory	  IA	6	246	252	
CheckMate 227	Territory	  IA	8	8	16	
progressive	Territory	  IA	7	245	252	
second-line	Territory	  IA	17	63	80	
eager	Territory	  IA	10	7	17	
first-line	Territory	  IA	26	54	80	
major academic institution	Territory	  IA	34	225	259	
top	Territory	  IA	23	0	23	
RTL mentioned	Territory	  IA	27	0	27	
Checkmate	Territory	  IA	87	792	879	
PD-L1 expression	Territory	  IA	72	703	775	
I-O	Territory	  IA	60	0	60	
NW territory	Territory	  ID	14	1448	1462	
ASCO'16	Territory	  ID	5	394	399	
NeoGenomics	Territory	  ID	8	554	562	
laboratory	Territory	  ID	7	1271	1278	
like to see a trial	Territory	  ID	15	14	29	
Academic TL stated	Territory	  ID	16	162	178	
Ipi+Nivo	Territory	  ID	45	338	383	
medical oncologists	Territory	  ID	23	176	199	
insights	Territory	  ID	137	0	137	
TL said	Territory	  ID	86	62	148	
pathologist	Territory	  ID	45	211	256	
TL	Territory	  ID	1157	51	1208	
large academic center stated	Territory	  IN	25	347	372	
Lung RTL shared	Territory	  IN	15	59	74	
midwest	Territory	  IN	42	124	166	
mostly	Territory	  IN	34	0	34	
cut-off	Territory	  IN	26	695	721	
submitted	Territory	  IN	21	96	117	
PDL-1	Territory	  IN	50	881	931	
second line	Territory	  IN	78	247	325	
pts	Territory	  IN	164	1624	1788	
line	Territory	  IN	345	108	453	
added	Territory	  IN	148	0	148	
NTL	Territory	  IN	311	710	1021	
shared	Territory	  IN	507	1	508	
CLL	Territory	  KS	5	98	103	
like to see a trial	Territory	  KS	15	14	29	
GVHD	Territory	  KS	21	118	139	
TL commented	Territory	  KY	83	892	975	
presenter	Territory	  KY	14	1	15	
Local TL	Territory	  KY	52	1414	1466	
I/O	Territory	  KY	36	184	220	
Academic TL	Territory	  KY	65	167	232	
commented	Territory	  KY	295	327	622	
Pediatric Oncology/ Hematology	Territory	  LA	4	319	323	
Pediatric	Territory	  LA	11	367	378	
Brentuximab vedotin	Territory	  LA	11	135	146	
described	Territory	  LA	44	0	44	
academic center	Territory	  LA	103	319	422	
lymphoma	Territory	  LA	73	12	85	
transplant	Territory	  LA	92	193	285	
cHL	Territory	  LA	116	190	306	
PR Hem Onc Symposium	Territory	  LANDSCAPE	5	142	147	
Path TL	Territory	  MA	18	230	248	
NTL in the Boston area mentioned	Territory	  MA	9	137	146	
Boston area	Territory	  MA	19	27	46	
Path	Territory	  MA	19	0	19	
IVD	Territory	  MA	6	146	152	
score	Territory	  MA	21	156	177	
pathologist	Territory	  MA	45	211	256	
Boston	Territory	  MA	40	82	122	
22C3	Territory	  MA	49	112	161	
BV	Territory	  MA	33	158	191	
stop	Territory	  MA	67	137	204	
mentioned	Territory	  MA	289	130	419	
reported	Territory	  MA	182	10	192	
standardized	Territory	  MD	8	132	140	
Path TL	Territory	  ME	18	230	248	
Boston area	Territory	  ME	19	27	46	
NTL in the Boston area mentioned	Territory	  ME	9	137	146	
Path	Territory	  ME	19	0	19	
Boston	Territory	  ME	40	82	122	
rounds	Territory	  ME	8	5	13	
1st line NSCLC	Territory	  ME	17	26	43	
score	Territory	  ME	21	156	177	
pathologist	Territory	  ME	45	211	256	
22C3	Territory	  ME	49	112	161	
1st line	Territory	  ME	69	712	781	
pts	Territory	  ME	164	1624	1788	
LTL	Territory	  ME	79	800	879	
PD-L1	Territory	  ME	306	375	681	
mentioned	Territory	  ME	289	130	419	
NCI	Territory	  MI	16	112	128	
hematologic malignancies	Territory	  MI	5	4	9	
PET	Territory	  MI	11	0	11	
cancer center	Territory	  MI	46	130	176	
lymphoma	Territory	  MI	73	12	85	
academic center	Territory	  MI	103	319	422	
noted	Territory	  MI	144	0	144	
RTL from a major academic institution	Territory	  MN	20	232	252	
community institution	Territory	  MN	31	221	252	
026 Top 300	Territory	  MN	7	245	252	
large community institution	Territory	  MN	13	1371	1384	
NCI	Territory	  MN	16	112	128	
NOT Top 300	Territory	  MN	4	248	252	
academic institution mentioned	Territory	  MN	14	47	61	
single-agent	Territory	  MN	5	0	5	
KEYNOTE-024	Territory	  MN	19	76	95	
CheckMate 227	Territory	  MN	8	8	16	
second-line	Territory	  MN	17	63	80	
eager	Territory	  MN	10	7	17	
first-line	Territory	  MN	26	54	80	
top	Territory	  MN	23	0	23	
major academic institution	Territory	  MN	34	225	259	
RTL mentioned	Territory	  MN	27	0	27	
Checkmate	Territory	  MN	87	792	879	
PD-L1 expression	Territory	  MN	72	703	775	
pembrolizumab	Territory	  MN	65	45	110	
RTL	Territory	  MN	690	801	1491	
cabozatanib	Territory	  MO	13	190	203	
trx	Territory	  MO	10	0	10	
pace	Territory	  MO	8	208	216	
aPD1	Territory	  MO	7	635	642	
Pan-tumor	Territory	  MO	18	464	482	
ie	Territory	  MO	52	0	52	
modest	Territory	  MO	9	142	151	
2L+	Territory	  MO	12	334	346	
IL-2	Territory	  MO	16	48	64	
GU RTL stated	Territory	  MO	13	433	446	
Pan	Territory	  MO	10	0	10	
not test for PDL1	Territory	  MO	14	651	665	
axitinib	Territory	  MO	14	482	496	
HN	Territory	  MO	21	1	22	
GU	Territory	  MO	84	815	899	
3L	Territory	  MO	19	518	537	
sunitinib	Territory	  MO	19	348	367	
nearly	Territory	  MO	23	0	23	
completely	Territory	  MO	26	3	29	
testing for PDL1	Territory	  MO	39	575	614	
Pediatric	Territory	  MS	11	367	378	
regional TL shared	Territory	  MS	18	18	36	
achieved a CR	Territory	  MS	18	356	374	
offered	Territory	  MS	88	0	88	
TL shared	Territory	  MS	119	1081	1200	
described	Territory	  MS	44	0	44	
academic center	Territory	  MS	103	319	422	
Regional TL	Territory	  MS	100	1088	1188	
nivolumab	Territory	  MS	335	5	340	
said	Territory	  MS	479	0	479	
HCP	Territory	  MSL	115	124	239	
NW territory	Territory	  MT	14	1448	1462	
ASCO'16	Territory	  MT	5	394	399	
NeoGenomics	Territory	  MT	8	554	562	
laboratory	Territory	  MT	7	1271	1278	
like to see a trial	Territory	  MT	15	14	29	
Academic TL stated	Territory	  MT	16	162	178	
Ipi+Nivo	Territory	  MT	45	338	383	
medical oncologists	Territory	  MT	23	176	199	
insights	Territory	  MT	137	0	137	
TL said	Territory	  MT	86	62	148	
pathologist	Territory	  MT	45	211	256	
TL	Territory	  MT	1157	51	1208	
tolerance	Territory	  N. FL	4	0	4	
oncology	Territory	  N. FL	97	148	245	
practice	Territory	  N. FL	258	718	976	
NW territory	Territory	  N.CA	14	1448	1462	
sky-rocketed	Territory	  N.CA	3	577	580	
NeoGenomics	Territory	  N.CA	8	554	562	
laboratory	Territory	  N.CA	7	1271	1278	
clone	Territory	  N.CA	5	149	154	
diagnostics	Territory	  N.CA	8	1288	1296	
medical director	Territory	  N.CA	8	365	373	
reflex testing	Territory	  N.CA	11	91	102	
medical oncologists	Territory	  N.CA	23	176	199	
platform	Territory	  N.CA	18	149	167	
IHC	Territory	  N.CA	25	536	561	
insights	Territory	  N.CA	137	0	137	
molecular	Territory	  N.CA	17	42	59	
SP142	Territory	  N.CA	17	146	163	
pathologist	Territory	  N.CA	45	211	256	
in-house	Territory	  N.CA	25	127	152	
22C3	Territory	  N.CA	49	112	161	
Community TL	Territory	  N.CA	73	820	893	
sent	Territory	  N.CA	64	529	593	
utilized	Territory	  N.CA	45	0	45	
NW territory	Territory	  N.NV	14	1448	1462	
sky-rocketed	Territory	  N.NV	3	577	580	
NeoGenomics	Territory	  N.NV	8	554	562	
laboratory	Territory	  N.NV	7	1271	1278	
clone	Territory	  N.NV	5	149	154	
diagnostics	Territory	  N.NV	8	1288	1296	
medical director	Territory	  N.NV	8	365	373	
healthcare	Territory	  N.NV	6	688	694	
Ventana platform	Territory	  N.NV	7	145	152	
reflex testing	Territory	  N.NV	11	91	102	
medical oncologists	Territory	  N.NV	23	176	199	
platform	Territory	  N.NV	18	149	167	
IHC	Territory	  N.NV	25	536	561	
insights	Territory	  N.NV	137	0	137	
molecular	Territory	  N.NV	17	42	59	
SP142	Territory	  N.NV	17	146	163	
pathologist	Territory	  N.NV	45	211	256	
network	Territory	  N.NV	18	441	459	
pathology	Territory	  N.NV	19	213	232	
gained	Territory	  N.NV	19	86	105	
Neuro-ONC	Territory	  NC	11	39	50	
National Thought leader	Territory	  NC	9	0	9	
respect	Territory	  NC	20	122	142	
GBM	Territory	  NC	49	79	128	
IO therapy	Territory	  NC	64	26	90	
NCI	Territory	  ND	16	112	128	
hematologic malignancies	Territory	  ND	5	4	9	
PET	Territory	  ND	11	0	11	
cancer center	Territory	  ND	46	130	176	
lymphoma	Territory	  ND	73	12	85	
academic center	Territory	  ND	103	319	422	
noted	Territory	  ND	144	0	144	
Numerous TLs	Territory	  NE	6	253	259	
tone	Territory	  NE	4	0	4	
AE profile	Territory	  NE	14	338	352	
like to see a trial	Territory	  NE	15	14	29	
comers	Territory	  NE	20	0	20	
q3wk	Territory	  NE	14	425	439	
TLs	Territory	  NE	98	6	104	
IO-IO	Territory	  NE	21	757	778	
highly	Territory	  NE	30	34	64	
regards	Territory	  NE	112	0	112	
increase	Territory	  NE	113	36	149	
Path TL	Territory	  NH	18	230	248	
Path	Territory	  NH	19	0	19	
IVD	Territory	  NH	6	146	152	
1st line NSCLC	Territory	  NH	17	26	43	
score	Territory	  NH	21	156	177	
Boston	Territory	  NH	40	82	122	
pathologist	Territory	  NH	45	211	256	
22C3	Territory	  NH	49	112	161	
1st line	Territory	  NH	69	712	781	
pts	Territory	  NH	164	1624	1788	
LTL	Territory	  NH	79	800	879	
PD-L1	Territory	  NH	306	375	681	
PD-L1 testing	Territory	  NH	123	444	567	
added	Territory	  NH	148	0	148	
southeast region	Territory	  NJ	7	169	176	
cHD	Territory	  NJ	6	318	324	
gathered the following unsolicited	Territory	  NJ	6	175	181	
Ritchie	Territory	  NJ	6	170	176	
NCI-designated	Territory	  NJ	8	157	165	
Joseph	Territory	  NJ	7	170	177	
NCCN panel member	Territory	  NJ	9	561	570	
corticosteroids	Territory	  NJ	17	260	277	
comparable	Territory	  NJ	13	498	511	
thought leader	Territory	  NJ	25	22	47	
member	Territory	  NJ	37	111	148	
National TL	Territory	  NJ	51	544	595	
patients respond	Territory	  NJ	37	22	59	
major	Territory	  NJ	90	483	573	
Regional TL	Territory	  NJ	100	1088	1188	
opinion	Territory	  NJ	72	109	181	
reported	Territory	  NJ	182	10	192	
Numerous TLs	Territory	  NM	6	253	259	
tone	Territory	  NM	4	0	4	
restriction	Territory	  NM	6	16	22	
AE profile	Territory	  NM	14	338	352	
comers	Territory	  NM	20	0	20	
q3wk	Territory	  NM	14	425	439	
TLs	Territory	  NM	98	6	104	
established	Territory	  NM	17	0	17	
IO-IO	Territory	  NM	21	757	778	
highly	Territory	  NM	30	34	64	
key	Territory	  NM	37	0	37	
SOC	Territory	  NM	69	492	561	
regards	Territory	  NM	112	0	112	
increase	Territory	  NM	113	36	149	
indication	Territory	  NM	99	0	99	
population	Territory	  NM	222	248	470	
IO	Territory	  NM	242	52	294	
q3wk	Territory	  NV	14	425	439	
myocarditis	Territory	  NV	12	62	74	
TLs have stated	Territory	  NV	21	203	224	
IO-IO	Territory	  NV	21	757	778	
PDL-1	Territory	  NV	50	881	931	
Community TL	Territory	  NV	73	820	893	
large academic center stated	Territory	  OH	25	347	372	
midwest	Territory	  OH	42	124	166	
TL commented	Territory	  OH	83	892	975	
PDL-1	Territory	  OH	50	881	931	
mostly	Territory	  OH	34	0	34	
meeting	Territory	  OH	239	35	274	
line	Territory	  OH	345	108	453	
BMS-sponsored	Territory	  OK	2	50	52	
novel	Territory	  OK	10	9	19	
uveal	Territory	  OM	5	424	429	
years old	Territory	  OM	8	0	8	
objective responses	Territory	  OM	8	3	11	
BRAF/MEK	Territory	  OM	10	362	372	
BRAF	Territory	  OM	38	209	247	
regimen	Territory	  OM	243	465	708	
NW territory	Territory	  OR	14	1448	1462	
ASCO'16	Territory	  OR	5	394	399	
NeoGenomics	Territory	  OR	8	554	562	
laboratory	Territory	  OR	7	1271	1278	
Academic TL stated	Territory	  OR	16	162	178	
community hospital	Territory	  OR	19	551	570	
Ipi+Nivo	Territory	  OR	45	338	383	
medical oncologists	Territory	  OR	23	176	199	
insights	Territory	  OR	137	0	137	
IHC	Territory	  OR	25	536	561	
TL said	Territory	  OR	86	62	148	
pathologist	Territory	  OR	45	211	256	
TL	Territory	  OR	1157	51	1208	
MedOncs	Territory	  PA	4	131	135	
machines	Territory	  PA	3	147	150	
standardized	Territory	  PA	8	132	140	
complementary	Territory	  PA	4	138	142	
SP263	Territory	  PA	8	144	152	
tumor cells	Territory	  PA	22	82	104	
Dako	Territory	  PA	17	124	141	
staining	Territory	  PA	32	620	652	
22C3	Territory	  PA	49	112	161	
aware	Territory	  PA	57	0	57	
PD-L1	Territory	  PA	306	375	681	
Path TL	Territory	  RI	18	230	248	
Path	Territory	  RI	19	0	19	
IVD	Territory	  RI	6	146	152	
1st line NSCLC	Territory	  RI	17	26	43	
score	Territory	  RI	21	156	177	
Boston	Territory	  RI	40	82	122	
pathologist	Territory	  RI	45	211	256	
22C3	Territory	  RI	49	112	161	
1st line	Territory	  RI	69	712	781	
pts	Territory	  RI	164	1624	1788	
LTL	Territory	  RI	79	800	879	
PD-L1	Territory	  RI	306	375	681	
PD-L1 testing	Territory	  RI	123	444	567	
added	Territory	  RI	148	0	148	
cabozatanib	Territory	  S. IL	13	190	203	
trx	Territory	  S. IL	10	0	10	
pace	Territory	  S. IL	8	208	216	
aPD1	Territory	  S. IL	7	635	642	
Pan-tumor	Territory	  S. IL	18	464	482	
ie	Territory	  S. IL	52	0	52	
modest	Territory	  S. IL	9	142	151	
2L+	Territory	  S. IL	12	334	346	
GU RTL stated	Territory	  S. IL	13	433	446	
Pan	Territory	  S. IL	10	0	10	
IL-2	Territory	  S. IL	16	48	64	
not test for PDL1	Territory	  S. IL	14	651	665	
axitinib	Territory	  S. IL	14	482	496	
HN	Territory	  S. IL	21	1	22	
GU	Territory	  S. IL	84	815	899	
3L	Territory	  S. IL	19	518	537	
sunitinib	Territory	  S. IL	19	348	367	
nearly	Territory	  S. IL	23	0	23	
completely	Territory	  S. IL	26	3	29	
testing for PDL1	Territory	  S. IL	39	575	614	
HCP	Territory	  S. TN	115	124	239	
cytology	Territory	  S.CA	4	159	163	
volume	Territory	  S.CA	31	9	40	
in-house	Territory	  S.CA	25	127	152	
score	Territory	  S.CA	21	156	177	
requests	Territory	  S.CA	61	545	606	
cytology	Territory	  S.NV	4	159	163	
volume	Territory	  S.NV	31	9	40	
in-house	Territory	  S.NV	25	127	152	
score	Territory	  S.NV	21	156	177	
requests	Territory	  S.NV	61	545	606	
GYN ONC	Territory	  SC	4	69	73	
Neuro-ONC	Territory	  SC	11	39	50	
National Thought leader	Territory	  SC	9	0	9	
respect	Territory	  SC	20	122	142	
GBM	Territory	  SC	49	79	128	
IO therapy	Territory	  SC	64	26	90	
RTL from a major academic institution	Territory	  SD	20	232	252	
community institution	Territory	  SD	31	221	252	
026 Top 300	Territory	  SD	7	245	252	
large community institution	Territory	  SD	13	1371	1384	
NCI	Territory	  SD	16	112	128	
NOT Top 300	Territory	  SD	4	248	252	
academic institution mentioned	Territory	  SD	14	47	61	
single-agent	Territory	  SD	5	0	5	
KEYNOTE-024	Territory	  SD	19	76	95	
