driver,type,subset,impact,score,related_terms,doc_count,example_doc,example_doc2,example_doc3
inquiry,auto_found,Month,-2.4728428569130223,-0.10662740999288751,"['Notified', 'documentation', 'inquiry', 'informed', 'inquiring']",1115,"Dear US Medical Information Team, Please see email below from Public Relations regarding a voicemail from an HCP patient regarding access to Nivolumab. Please follow up accordingly. Thanks, Marta ------- Per guidance from Cara, made outbound call on 05FEB2016 @ 1115 to provide information to this caller/physician. Caller stated that since his initial inquiry to us, he has been enrolled in a protocol/trial at Memorial Sloan Kettering Cancer center where he will be receiving Opdivo. He stated that he signed the papers yesterday and will start treatment for Opdivo on Wednesday. He is concerned about how he will receive Opdivo after the trial is over (whether he will have to pay for it or if it will be covered because he was in the trial). Provided him the number for Access support. Caller had no additional questions. MH 05FEB2016","Verified HCP's contact information via google. Sent email notification. MH 06JAN2016 Seeking guidance on how to handle. Assigned to US oncology que and chatter sent to Cara. MH 06JAN2016 Cara stated: ?Per guidance we received on a previous request we do not have any pictures of rash associate with Opdivo. Please send a no data letter with the following wording: To date, Bristol-Myers Squibb does not have any pictures/images of rash associated with nivolumab treatment. A Pubmed literature search 2002 to present using the following search terms: nivolumab/pictures/images/rash did not identify any citations relevant to your inquiry.? Per guidance, attached the no data template and customized to Opdivo-TEM@rash caused by nivolumab. Added wording provided by Cara. Updated TR. Will send this info in the cover letter summary section. No other changes made. MH 06JAN2016","Call warm-transferred from Marc at the BMS information center. Caller stated she received an inquiry from an oncologist wanted to know the projected submission time to the FDA for the use of Opdivo in Hodgkin lymphoma because he wanted to use nivolumab in a patient with Hodgkin lymphoma. Caller stated the doctor knew that submissions have been made in Europe and Japan for this indication and wanted to know the status of the submission in the US. Informed caller BMS does not provide pending/projected submission details. Informed caller, BMS could not recommend the use of nivolumab outside of its labeled indications. Caller then asked if the same data for submission would be used in the US that was submitted in Japan and Europe. Informed caller we could not speak to the submissions in Japan and Europe and would not be able to speak to any possible submission in the US. Caller then asked if an MSL could answer these questions. Informed caller the MSL would not be able to speculate either. Caller stated she still would like to request to be contacted by a MSL. Caller stated she would like to be contacted by an MSL via email. Caller had no further questions, survey not offered due to escalation (MSL request). Split into 2 requests. Assigned 2 business day due date due to 1-2 business day promise. Chattered and assigned to Selina due to Irina OOTO. ABH01Apr2016 ***MSL request sent via email to Barbara Stehr on 4/1 by Selina Ashby."
Split request,auto_found,Month,-1.4078359526022892,-0.10510602630659605,"['request', 'Split request', 'Verified', 'Split request into two separate', 'assigned MSL request to Irina', 'google search', 'attachment and via google search', 'SR notification sent', 'added phone number via google', 'notes and via google search', 'completion', 'Email notification was already sent', 'Need to clarify', 'attachment with contact information documented', '*24 hr email sent', 'information']",16924,"Devon call me please 504-554-0126 Please send information on use of Opdivo for metastatic breast cancer & ask MSL Devon Hall to call my cell 504554012 -- *24 hr email sent* Changed requester from sales representative to HCP. Verified HCP credentials and contact information per attachment. Split request into 2 separate questions and assigned MSL request to Tujuana. DP 08APR2016 ****MSL Request being sent to Devon Hall on 4/8/16 by T. Wyatt, in the absence of Irina Signatovich (vacation)***",I would like to get information on the use of Opdivo combined with radiation. Are there any trials currently in lung with RT and Opdivo? Can I also have MSL Dawn Bey contact me? -- *no email provided* Verified HCP credentials and contact information per request notes. Split request into 3 separate questions and assigned MSL request to Tujuana. DP 08APR2016 ***MSL Request being sent to Dawn Bey on 4/8/16 by T.Wyatt in absence of Irina Signatovich (vacation),"Dr. Jahangir is requesting in depth + specific information regarding the use of Opdivo as a single agent in a metastatic melanoma patient regarding renal insufficiency. thanks -- *no email provided* Verified HCP credentials and contact information per attachment and via google search. Split request into two separate questions and assigned MSL request to Tujuana. DP 06APR2016 ***MSL Request being sent to Devon Hall on 4/6/2016 by T. Wyatt, iin absence of Irina Signatovich (vacation)***"
previous,auto_found,Month,-2.055640062813504,-0.08647458504046168,['previous'],498,Verified attachment with contact details. Verified acknowledgement email sent. Filed AE. ABH04Feb2016 Per previous guidance from Anu on case 13053 (see attachment) customizing no data letter with treatment disclaimer. ABH05Feb2016,"Original question, ""Is there a problem with efficacy if concentration of the drug mixed in a bag <1mg/ml ( less than 1mg/ml)"". Verified attachment with contact details. Verified acknowledgement email sent. ABH04Feb2016 No data found. Internally escalated to PPD. ABH04Feb2016 Verified attachment with contact details. Verified acknowledgement email sent. ABH04Feb2016 Upon PPD escalation, no data available. Customizing no data letter per previous guidance on case 56538. ABH04Feb2016","Verified attachment with contact details. Verified acknowledgement email sent. Split into 3 requests. ABH08Feb2016 After internal PPD escalation, sending no data response based on previous guidance on case 112865. ABH09Feb2016"
enrolling,auto_found,Month,-2.7493010805173927,-0.0810416606978839,"['enrolling', 'EAP']",99,"Dear US Medical Information Team, Please see email below from Public Relations regarding a voicemail from an HCP patient regarding access to Nivolumab. Please follow up accordingly. Thanks, Marta ------- Per guidance from Cara, made outbound call on 05FEB2016 @ 1115 to provide information to this caller/physician. Caller stated that since his initial inquiry to us, he has been enrolled in a protocol/trial at Memorial Sloan Kettering Cancer center where he will be receiving Opdivo. He stated that he signed the papers yesterday and will start treatment for Opdivo on Wednesday. He is concerned about how he will receive Opdivo after the trial is over (whether he will have to pay for it or if it will be covered because he was in the trial). Provided him the number for Access support. Caller had no additional questions. MH 05FEB2016","* Googled phone number and phone number matched this address * SH 3/28/16 ------- Verified attachment with contact information documented. Sent email notification. AE filed under case # 184924. MH 29MAR2016 4/4/2016 SM Hi, Anila and David, I am writing to request BMS consideration of compassioned use of nivolumab in a patient who was previously treated on CA209-038. This patient is a 78 y/o female with a history of metastatic melanoma in the left inguinal, pelvic and retroperitoneal lymph nodes. She was enrolled in Part I of the protocol in 3/2013 when her disease progressed after 4 cycles of ipilimumab. She received nivolumab from 3/2013 to 3/2014 after confirmatory scan x2 showed her disease achieved complete response. Her Follow-up scan #3 was 10/2014 which showed disease in remission. However, the scan in 1/2015 showed mild enlargement of left external iliac lymph nodes with the largest one measured 1.7 x 1.2 cm. The follow-up CT scan in 4/2015 and PET/CT scan in 7/2015 showed the further progression to 2.1 x 1.5 cm with hypermetabolic activity SUV 63. She was started on Keytruda 2 mg/kg every 3 weeks in 7/2015. However, follow-up CT scan in 9/2015, PET/CT in 10/2015 and CT in 1/2016 showed interval increase in size of the FDG avid left external iliac adenopathy with the largest lesion measure 28 x 17 cm. Her treatment was changed to nivolumab 3 mg/kg every 2 weeks on 1/5/2016. After completion of 4 doses of nivolumab, CT scan on 2/29/2016 showed stable disease with the largest lesion measured 2.8 x 1.6 cm. She received the 5th dose of nivolumab on 3/1/2016. However, her insurance, Humana contacted me on 3/11/2016 and told me that further treatment with nivolumab is denied because I could not provide any data to support the use of nivolumab after Keytruda progression. During Peer-to-Peer review, the medical director accused me using my patient as experiment at Humana's expense! I am hoping with your help that BMS will grant compassionate use of nivolumab in this case especially because of her amazing response to nivolumab in 2013 . Thank you very much in advance for your consideration of this special patient. Sincerely, Wen-Jen Sent acknowledgement email and escalating to ACCESS RB 31Mar2016 3/31/16 SM Reached out to BMS Access Support to see if patient has been registered. Called Wen-Jen Hwu, and left message regarding details on the patient. 4/5/16 SM Reached out to TA MI to see if we have any data that can help with this. Dr. Hwu called back and gave details on insurance denial. I asked her to reach out to BMS ACCESS support and call me back once that was done so I could help on my end and bring the case to BMS ACCESS SUPPORT email. 4/7/16 SM No data available. Forwarded email to Anu to see if there is anything we can do for this patient. Awaiting Dr. Hwu's call at the same time 4/13/16 SM Called Dr. Hwu's office, unable to get in touch with anyone. Left two messages 4/14/16 SM Reached out to BMS access support myself to see if anyone from MD Anderson had called regarding this request. Agent stated no one has reached out. Emailed BMS access support mgmt. See attached email. Awaiting reply 4/15/16 SM Received a call from Fedora, ARM for that area who stated that ACCESS SUPPORT MANAGEMENT reached out to her based on my email. They accidentally stated that I was the patient, but Fedora recognized my name from having worked with me before and therefore called me directly to get details on the case. I gave her necessary information, and what the doctor was looking for, Fedora stated that she has will be reaching out to the provider-per Fedora, she has worked MD Anderson before, they often do not like filling out the forms on line, She will help them fill that out. Closing case now as ARMS is handling it.","RN case manager requests to speak with someone at BMS regarding a PDL1 test and where to send. She has a patient that is in his 12th week post-op and they want him in NCT 02743494. He has stage III esophageal cancer and has had an esophagectomy, radiation, and chemotherapy. She has spoken with the site coordinator, Kaylon Guebert-314-747-8085, at University of Washington but is not being given this information. She states that she needs an answer as soon as possible. I explained that typically we would refer to the site coordinator but will escalate her request as she wishes. Escalated to Melissa Hall, PharmD. TW 13Jul2016 Called HCP back at 1522 and spoke with Ms. Wood who stated that she has been in contact with Kaylon Guebert, sit coordinator for BMS study NCT 02743494(phone #314-747-8085), at University of Washington. She has a patient who they are trying to get into this study and they only have 2 days left to get him into this study. She asked how the PDL1 assay worked. I spoke from the Nivolumab-Nivolumab Dako assay SRL and referred her back to the Dako company for more information on this. She also asked how to obtain the test and I spoke from the Opdivo-GEN-PDL1 testing_labs that offer PDL1 test and how PDL1 assays differ-Jul15 SRL. She then indicated that the site coordinator stated that, in order for this patient to be enrolled in this trial, they MUST have a PDL1 test performed on him and that they must have this information within the next 2 days. She is unsure if this needs to be a tissue sample, how they need to obtain the test, if it needs to be taken with the patient to St. Louis (to the site), etc. She said the site coordinator has been unable to provide this information. Since this is a clinical trials question and we usually refer to the site coordinator, but the site coordinator has not been able to provide information, I offered to escalate her request. Caller accepted and requested follow-up ASAP! Caller requested follow-up via phone. Escalated to TA. MH 13JUL2016 Called Nurse and let her know that I am looking into the appropriate contact person in clinical trials to contact. I will call her back in the morning. 13Jul2016 CS Matthew Cahir protocol manager for this study responded that the site manager is reaching out to the site to assist with the patient enrollment. Closing request14Jul2016 CS"
representative,auto_found,Month,-4.698568508344342,-0.07957755758290823,['representative'],286,"Devon call me please 504-554-0126 Please send information on use of Opdivo for metastatic breast cancer & ask MSL Devon Hall to call my cell 504554012 -- *24 hr email sent* Changed requester from sales representative to HCP. Verified HCP credentials and contact information per attachment. Split request into 2 separate questions and assigned MSL request to Tujuana. DP 08APR2016 ****MSL Request being sent to Devon Hall on 4/8/16 by T. Wyatt, in the absence of Irina Signatovich (vacation)***","Verified eMIRF with contact details. Unable to send acknowledgement email due to no email provided. ABH01Mar2016 Called phone number provided. Pharmacy representative stated requester no longer works there. Sending email to SR to get corrected contact details. ABH01Mar2016 Received email back with corrected phone number. Updated contact details. Called and left message. ABH01Mar2016 Received callback at 1523 on 01Mar2016. Requester stated he would like to be sent data on the use of elotuzumab monotherapy in patients with advanced multiple myeloma. Caller also had an additional Opdivo question. Caller stated he wanted the Elotuzumab data now and could be sent the Opdivo information later. Split off Opdivo request. ABH01Mar2016 After internal PPD escalation, chattered and assigned to the US oncology escalation queue due to issue in customizing the ""Nivolumab-The potential of PD-L1 as biomarker in NSCLC"" letter. ABH02Mar2016 Customizing ""Nivolumab-Biomarker predictive for nivolumab activity in patients with melanoma"", ""Nivolumab-Efficacy of nivolumab by PD-L1 expression in RCC"", and ""Nivolumab-The potential of PD-L1 as biomarker in NSCLC"" SRl's to only include PD-L1 negative data. Leave in all safety data. ABH07Mar2016","Call warm-transferred by Scott on the oncology support line. Caller stated she was given a form from sales representative Stephanie Longpree for a nurse from BMS to follow-up with her patient on nivolumab (throughout the course of her therapy), but that the form was only for patients who were taking on-label. Since the patient was on nivolumab for ovarian cancer she was wondering if she still needed to send in the form. Informed caller, request would have to be researched further. Caller stated she would like follow-up via phone.ABH07Apr2016 After internal PPD escalation, request requires further escalation. Chattered and assigned to US oncology escalation queue. ABH08Apr2016 Per guidance from Roma, called Oncology Support to relay information and have a sales representative follow-up with requester. Spoke with Scott. ABH0808Apr2016"
listed,auto_found,Month,-1.6967751943729366,-0.07890427714508559,"['contact', 'entered', 'address', 'matches', 'correct', 'listed', 'website']",6114,"From MSL: ""Here is a request from Dr. Jeong Hee Cho for PDL-reactive deck slide #168 (PFS in PD-L1 subgroups of treatment-naive melanoma patients) . Please include my email when requested information is sent out to Dr. Cho"" ------ Email fulfillment indicated on request, however email address was not included on this request. Verified attachment with contact information documented. No email on file to send notification. Sent email to MSL to request this information. MH 03FEB2016 Received email back from MSL stating: 'Dr. Cho's email address is : j.cho1@med.miami.edu"" Sent email notification. MH 04FEB2016 No PFS breakdown by PDL1 status found for study 066 in either the the Nivolumab-Nivolumab as first line therapy in advanced melanoma or the Opdivo-PHA-Biomarker predicative of response_melanoma-US Mar15 SRLs. Sent email to PPD Onc team to see if we should escalate. MH 04FEB2016 Team consensus is to escalate. Assigned to US Onc Esc Que and chatter sent to Cara. MH 04FEB2016 Received guidance from Eric to provide info verbally. (See chatter) 1st attempt: 09FEB2016 @ 1452 - Reached a VM system that asked for an extension number. When I entered 6322, it stated that the person at this extension was not available and asked for a mailbox number to leave a message. Unable to leave message, as I do not have this information. No other numbers listed on MIRF. MH 09FEB2016 1st attempt to reach Jasmine Lee, PDL for better contact information for MD - 09FEB2016 @ 1457- LM on Ms. Lee's VM with MIRF line. MH 09FEB2016 Assigned to Dave for follow-up due to OOTO. MH 09FEB2016 -- Spoke to Dr. Jeong Cho and Jasmine Lee PDL who verified the information being requested is slide #168 from the PDL reactive deck. Assigned request to the US Oncology Escalation Queue. Dr. Cho verified she would like to receive the information via email and verified email address on file (Dr. Cho provided her cell phone number as well: 713-202-6232, Jasmine Lee provided alternate number 415-818-9737). DP 11FEB2016","VS 20Apr2016, received a call from a physician from the University of California Davis Medical Center who has a non-squamous NSCLC patient with no Insurance and wanted to know if there is a support program for Opdivo. Provided information from SRLS Opdivo-AVL-HCP request for EAP_compassionate use_REQUIRES CUSTOMIZATION-Mar15 and Opdivo-AVL-Clinical trials enrolling_NSCLC-Jul15 . The requester refused to receive by email the list of ongoing trials on NSCLC.","Verified attachment with contact information documented. Sent email notification to HCP. AE for Plavix filed under case# 308621. Unsure if this is for a patient in the US or Canada. Chatter sent to TA to see how best to handle. The EAP form used is specific to a hospital in Canada (Bayshore.ca), however the doctor is located in Texas. MH 12JUN2016 Cara's guidance: ""Please call and clarify where the patient resides and where they are seeking to receive nivolumab, if it is all US related then proceed per our EAP SRL and they can be referred to BMS access support. If they are not looking for drug in US you can escalate back to us."" 1st attempt: 13JUL2016 @ 1507 - Spoke with Alana Bundrandt, who is also listed on the form as a contact person, and she stated that the patient is living in the US and would like to receive nivolumab in the US through an EAP from BMS. MH 13JUL2016 Per guidance, customized the EAP SRL with recruiting trials for head and neck cancer. MH 13JUL2016"
oncologist,auto_found,Month,-4.991562977248189,-0.07714671686000438,"['asked', 'oncologist', 'inquiring', 'Dr.']",2338,"Dear Medical Information, Please see the email request from Dr. Waqas Arslan. I clarified with him and he is interested in receiving the proactive Opdivo melanoma deck. Original question, ""Hello I got your email from Hansen Troy I am medical oncologist I was wondering if u have a slide deck for presentation of melanoma and new immune therapy Thxs W Arslan"". Verified MD credentials via google. Address and phone number match google. Verified acknowledgement email sent. ABH29Feb2016 After internal PPD escalation. Chattered and assigned to the US oncology escalation queue for guidance. ABH29Feb2016 Verified correct slide deck RB 3Mar2016 -- Assigned request for fulfillment (guidance from Roma: see attachment at bottom). DP 03MAR2016","Dear Sir/Madame: My name is Somnit Wilson. I work as a pharmacist in Rochester, NY. About 3 months ago, my family in Bangkok, Thailand informed me that my brother-in-law has a stage IV lung cancer. He had received chemotherapy (gemcitabine+carboplatin) for a total of 6 cycles since August 2015-January 2016 (his last treatment). The oncologist did not believe that additional session of chemo will benefit him at this stage. The news brought sadness & desperation to the family. I remembered seeing the commercial on Opdivo. After further research, I truly believe that Opdivo may be the best alternative. I contacted my family. My brother-in-law discussed Opdivo with his oncologist. His oncologist agreed to try Opdivo. This gives him hope to live longer. However, the first issue is how to obtain Opdivo since there is no BMS office in Thailand. Secondly, since Opdivo is very expensive, does BMS have any assistance program available for patients outside the US? Thank you very much for your assistance and guidance. I'm looking forward to hearing from you soon. Sincerely, Somnit Wilson Email Body: Dear Sir, Thank you for your email. Here is the information you requested. My name is Ms Somnit Wilson, Pharm D, RPh. My address is 707 Honeoye Falls Five Points Rd, Honeoye Falls, NY 14472 USA. My cell phone is 585-410-3096. The patient's name is Mr. Apichat Silapachai, date of birth 11/27/1950. He lives in Bangkok, Thailand. Is it possible to contact me by telephone also? I was unable to contact the international phone number you listed. -- This appears to be a follow up email to original Request #194733. Verified HCP credentials and contact information. Filed AE (updated information - patient name and DOB). Chattered with Cara (working on original request) and assigned request to US Onc Esc Queue. DP 11APR2016 Original request is 194733 and will close out this case as it is duplicate. 11Apr2016 CS","URGENT request: Received a call transferred by Millie on 25Oct2016 from a PhD regarding Opdivo. Caller stated that one of the oncologists at the Comprehensive Cancer Center has a mother who has been diagnosed with glioblastoma. Caller stated that the oncologist is trying to navigate through the clinical trials and would like to find the best fit for his mother. Caller stated that she would like to know if it is possible to have access to the protocol for study CA209-498, Study of Nivolumab Compared to Temozolomide, Given With Radiation Therapy, for Newly-diagnosed Patients With Glioblastoma (GBM, a Malignant Brain Cancer) where BMS is a sponsor. Caller stated that she is willing to sign a CDA (confidentiality agreement) in order to be able to have access to the protocol for this study. Informed caller that we don't have access to protocol in the call center, especially for ongoing studies. Caller stated that she would like to have the question escalated to see if anything could be done. Caller stated that contact via phone is the best way to reach her: provided her office and cell: office is 505-925-0387 and cell is 716-830-6342. Caller stated that the investigator sent her the consent form and that she does have some of the study-related phone numbers, but she would like to see what can be done through BMS first. No survey offered due to escalation. CS 25Oct2016 Hi Christine, since this trial is still in the recruiting phase, we would not have access to the protocol. Please let the caller know that we cannot provide anything from BMS. The best option is to ask the caller to reach out to the investigator (especially if caller stated that she has the authority to sign a CDA and since the investigator sent her the consent form already). Thanks, assigning back to you! Called Dr. Gan on both her office phone and her cell phone as she stated to do. Left two messages with 1-800-321-1335 phone and case #432834 as reference. Providing verbal response to question. CS 26Oct2016"
concurrent,auto_found,Month,-1.9935750848222313,-0.07615975635245927,"['using Opdivo', 'concurrent', 'Opdivo and Yervoy']",407,"Verified requester credentials in google. Requester first name spelled wrong on eMIRF. Pulled business name from google. Phone number in google matches ATHENA. Original question, ""Is there any data with Opdivo in patients receiving concurrent steroids for brain metastases? If so what dose of steroids were used?"". ABH17Mar2016 Called to clarify request, spoke with requester. Requester stated ANY tumor type and no patient took BMS product and request was not in reference to a specific patient. Requester also stated that patients with non-small cell lung cancer develop brain mets and wanted to know if there was data on use of Opdivo in patients with brain metastases currently receiving steroids. ABH17Mar2016 Search of SRLs/ct.go/pubmed searching ?nivolumab/""brain metastases""/steroids? revealed nothing specific to the request Per guidance from case 036564 from lung and melanoma perspective there is no data, but the request does not address RCC. For this request a no data statement with WNS was added to the brain mets letters for lung and melanoma. After internal PPD escalation, escalating request for guidance from the RCC perspective. Chattered and assigned to the US oncology escalation queue. ABH17Mar2016 Emailed USKM for access to letter being requested- RCC brain mets letter. 17 March 2016 CS Fulfilling per guidance from Cara, ""Hi Alicia, The RCC brain mets letter is available now and I have attached it here. Also, for the melanoma letter, we should customize to add the exclusion criteria #1 from 037 regarding brain mets and corticosteroid use, the reference is already in the melanoma brain mets letter, it's the Weber Lancet Onc pub. Please let me know if you have any questions. I will re-assign to you. Thanks!"". Adding a no data statement with WNS to all the brain mets letters ABH18Mar2016","Original question, "" Are there any contraindications to concurrent administration of Opdivo and Xgeva or any increased incidence of side effects?"". Entered requester and referred by. Sent acknowledgement email. ABH22Feb2016 Customized Opdivo-INT-Denosumab-Aug 15 with search date and added manufacturer referral.ABH22Feb2016","Original question, "" 1) Any info on nivolumab and dialysis?? To me, as a pharmacist, the PK of the drug really shouldn't matter since it's a monoclonal antibody.....but TO wanted me to ask! :) 2) Any info on steroids (>10mg Pred or equivalent) and concurrent nivo? I've found stuff about 10mg or less, but am coming up short with data saying ""ok"" for >10mg."". Entered referred by and requester. Sent acknowledgement email. Mirf does not meet compliance as emailed in by sales representative. Rep states, "" Please have MSL, Ken Hyland, address these concerns by phone ASAP."" Chattered and assigned to US oncology escalation queue for guidance. ABH28Apr2016 Assigned to Irina as request is for MSL RB 28Apr2016 ***MSL req. sent via email to Kenneth Hyland on 04-29-2016, by Irina S."
SR,auto_found,Month,-1.6938666383266354,-0.06437115798380422,"['contact', 'Googled phone number', 'entered', 'attached MIRF', 'URGENT', 'clarify', 'MSL', 'correct', 'requester', 'SR', 'MIRF', 'resent', 'see attachment']",8888,"Verified eMIRF with contact details. Unable to send acknowledgement email due to no email provided. ABH01Mar2016 Called phone number provided. Pharmacy representative stated requester no longer works there. Sending email to SR to get corrected contact details. ABH01Mar2016 Received email back with corrected phone number. Updated contact details. Called and left message. ABH01Mar2016 Received callback at 1523 on 01Mar2016. Requester stated he would like to be sent data on the use of elotuzumab monotherapy in patients with advanced multiple myeloma. Caller also had an additional Opdivo question. Caller stated he wanted the Elotuzumab data now and could be sent the Opdivo information later. Split off Opdivo request. ABH01Mar2016 After internal PPD escalation, chattered and assigned to the US oncology escalation queue due to issue in customizing the ""Nivolumab-The potential of PD-L1 as biomarker in NSCLC"" letter. ABH02Mar2016 Customizing ""Nivolumab-Biomarker predictive for nivolumab activity in patients with melanoma"", ""Nivolumab-Efficacy of nivolumab by PD-L1 expression in RCC"", and ""Nivolumab-The potential of PD-L1 as biomarker in NSCLC"" SRl's to only include PD-L1 negative data. Leave in all safety data. ABH07Mar2016","Caller is RPh requesting compassionate use for nivolumab for the treatment of basal cell carcinoma. No information in document library for data or trials and from CT.gov search, no trials listed. Advised caller of this and provided ACCESS Support #, along with website address, advising steps of completing forms. Caller expressed understanding and also asked who the local rep is. I advised him that I do not know this information, but asked if he would like a rep sent to his site, which he stated he would. Caller had no further questions at this time. Called 855-Opdivo-1 and put in SR request with Milka, who was the original CIC representative that initially transferred call. She stated that she already took care of SR request. SB 03Oct2016","Caller is RPh requesting compassionate use for nivolumab for the treatment of basal cell carcinoma. No information in document library for data or trials and from CT.gov search, no trials listed. Advised caller of this and provided ACCESS Support #, along with website address, advising steps of completing forms. Caller expressed understanding and also asked who the local rep is. I advised him that I do not know this information, but asked if he would like a rep sent to his site, which he stated he would. Caller had no further questions at this time. Called 855-Opdivo-1 and put in SR request with Milka, who was the original CIC representative that initially transferred call. She stated that she already took care of SR request. SB 03Oct2016"
aware,auto_found,Month,-1.996109783213042,-0.06001163160776472,"['asked', 'informed', 'advised', 'inquiring', 'aware', 'recommendations']",2530,"Call transferred by Kathie BMS RN. Caller stated she was aware the final recommended concentration for Opdivo was between 1-10mg/ml and was wondering ""are they still allowed to use a 250ml bag for 218mg dose? Spoke from the Opdivo PI, specifically Section 2.5 Preparation and Administration, and informed caller we could not provide treatment recommendations or calculations for HCPs. Informed caller there was a sample calculation available (in the Nivolumab-Dosing and administration of nivolumab SRL) and offered to send information for review/reference to which caller accepted and requested via email. When asked, caller verified her question was general in nature and stated she wanted to make sure they were not ""over-diluting"" preparations. Upon further probing, caller verified this was to prevent possible errors moving forward and did not involve any past incidences. Caller stated she did not have any additional questions at this time and was transferred to survey. DP 01MAR2016 Call received by Kathie Clemons BMS RN. Requester stated she accidentally deleted information sent to her and requested the information be sent again. Case re-opened and response resent (cross reference Request #165301). DP 16MAR2016","Verified HCP's contact information and sent email notification to sales rep. MH 15JUN2016 The chart on page 5 runs off the right side of the page. Per guidance on R#275906 ? 10JUN2016 ? Christine Bui stated: ?The entire content is there - no data has been cut off, just layout is not ideal. Given that this is an urgent request, it is ok to send as is and we will work on reformatting in future? Per guidance from management, since TA is aware of the problem and has stated to send out as is, sending SRL as is for this request. MH 15JUN2016 sent print job to DAZEL on 15JUN2016 @ 1122, however this mail fulfillment has not been sent out. Printed and mailed out manually today, 21JUN2016. MH 21JUN2016","Received a transfer call from CIC with a sales representative, Conni Morgan (Phone: 219-781-8005). She indicates she just submitted the MIRF (in checking the US New Request queue- it doesn?t appear to have reached us Medical Information yet). She indicates that she was filling out the MIRF information on the iPad, and she was trying to type in the requester?s name, but she inadvertently selected another requester?s name. She indicates the signature and the email address match the correct requester. The request is supposed to be for Dr. Amer Sidani, but she accidentally submitted it under Dr. Bilal Siddiqui. Sent email notification to PPD Oncology Team making them aware of MIRF. AJM 06Jun2016"
Assigned,auto_found,Month,-3.803291339879127,-0.04638263072649876,"['ASAP', 'SM', 'completion', 'Assigned', 'US escalation queue', 'determine']",1631,* Assigned MSL Fulfillment to Irina Signatovich. *case 00120095 SH 2/3/16 Verified attachment with contact details. Verified acknowledgement email sent. Verified MSL request has been assigned. ABH03Feb2016 Call for clarification of request to see if they need info on investigator sponsored research VS bms sponsored research or if they want info on trials in SCLC. Unable to reach requester. Sending information on SCLC with standard clarification wording in cover letter. ABH09Feb2016,"Verified email chain with contact details. Verified acknowledgement email sent. Internally escalated to PPD due to no information found in SRLs. ABH13Apr2016 After internal PPD escalation, request requires further escalation. Chattered and assigned to Access MI queue due to payor request. ABH13Apr2016 4/20/16 SM Original question: I wanted to confirm your requests from our Opdivo discussion earlier this week. * You would like a copy of the swimmers plot on Time to and DUR from the 067 Regimen study * Is BMS involved in the Moonshot program and if so, can we provide any information? Please let me know if I've accurately captured your requests and if there is any additional information we can provide. 4/20/16 SM This mirf is on hold because we do not have any written statement stating that BMS is part of the Moon Shots program, however, we do conduct clinical trials at MD ANDERSON and do have an alliance. HOM has been contacted to see if they have any data 4/22/16 SM There is an error in ddp, help desk notified.",street address in Athena matches google Verified attachment with contact details. Verified acknowledgement email sent. Chattered and assigned to US oncology escalation queue per guidance. ABH12Feb2016
