Term,Slope,Rank,Tenth term slope,Tenth term rank,Quarter term slope,Quarter term rank,Half term slope,Half term rank
antibody,-3.58576234186e-06,57,0.000141216935866,19,3.13274879254e-05,41,-9.20083329607e-06,82
PFS,-5.28665799447e-07,45,5.57387736571e-05,47,1.02265133121e-05,57,-6.63175896924e-06,70
BMS,3.16769726259e-05,7,-0.000310304248546,94,-0.000129125567778,95,1.91254689076e-05,3
response,-2.35573337488e-06,51,9.41737504634e-05,35,1.81867909818e-05,54,-2.23860762419e-06,45
adverse events,-7.78963918523e-06,74,0.000124375502315,26,3.46624829117e-05,36,-7.86931556186e-06,74
progression,-5.29338447022e-06,69,0.00012463055832,25,3.30692425948e-05,38,-2.11187058714e-06,43
Patients receive,-1.87058921709e-05,92,1.74900669387e-05,62,4.18327619139e-05,26,-6.19388920413e-06,67
NTL,2.91602325588e-05,12,-0.000313459777346,96,-0.000120215257546,91,1.61107495831e-05,11
target,-3.07264313349e-06,55,0.000175526263876,12,3.21019826136e-05,39,-9.98181590728e-06,84
cancer,-8.17703473309e-07,46,8.47288031329e-05,39,2.19466730841e-05,52,-1.15112237916e-05,93
measured,-9.13819705141e-06,78,5.91181381101e-05,45,3.67705469718e-05,32,1.29974748122e-06,31
discussed,2.54784435389e-05,15,-0.000153269816006,81,-8.85306551722e-05,84,9.52667822663e-06,19
monotherapy,-2.12232361773e-06,50,-1.75532784512e-05,73,1.54729613667e-06,60,3.61095173083e-08,36
participants,-1.56112791949e-05,88,4.09868511005e-05,54,4.38816889231e-05,23,6.93766884698e-07,33
RCC,2.81751395461e-05,14,-0.000165504700513,82,-9.20215406886e-05,85,7.0850962459e-06,21
metastatic,-1.03561307572e-06,47,9.42954081135e-05,34,2.9778345455e-05,42,-9.9122901892e-06,83
determine,-1.47338968394e-05,85,7.35862922753e-05,42,5.31328781637e-05,13,-1.69875321253e-06,40
immune,-6.45590526371e-06,72,0.000180942458842,9,3.94277252576e-05,28,-1.09245217513e-05,90
inhibitors,1.04875839591e-08,43,0.000180637297453,10,2.40103681379e-05,51,-1.0085992843e-05,85
disease progression,-1.44820793986e-05,84,0.000109339451083,31,4.91759695686e-05,17,-2.17743680971e-06,44
PDL1,3.24818745816e-05,6,-0.000251001293173,88,-0.00012281657083,92,1.61687579898e-05,10
atezolizumab,-2.09272538006e-05,95,3.64635782891e-05,57,5.03640822107e-05,16,-5.75490267132e-06,64
cohort,-1.90820393746e-05,93,6.48534956203e-05,44,6.38167255743e-05,5,-2.80194376248e-06,50
defined,-8.75177252846e-06,77,7.68096737084e-05,41,3.69424617445e-05,31,4.82227256575e-07,34
monoclonal antibody,-6.28759515959e-06,71,7.77988549498e-05,40,2.76489372616e-05,45,-9.00524040912e-06,81
survival,-1.78112486039e-06,48,0.000120415037668,28,2.61412568066e-05,47,-1.05275579369e-05,88
study,-1.0177126113e-05,81,4.24543381999e-05,53,3.58772969381e-05,33,3.33952517163e-07,35
1L,3.03535671571e-05,11,-0.000246874723378,87,-0.000116431413353,88,1.53282599684e-05,14
infusion,-1.75595008601e-05,90,-1.58946220356e-05,72,3.70757047157e-05,29,3.5163681597e-06,27
outcomes,2.45178944256e-06,38,0.000177877209472,11,2.6744807665e-05,46,-8.97099598156e-06,79
immune checkpoint inhibitors,-4.29890461278e-06,61,0.000279958531171,1,5.56745844851e-05,12,-1.77709111915e-05,100
commented,2.88840052546e-05,13,-0.000285666368973,91,-0.000119694054925,90,1.60684448765e-05,12
estimate,-4.81290476121e-06,62,3.78606367584e-05,56,2.08766107723e-05,53,-6.52775480723e-06,69
drug,6.67579525893e-07,41,8.89121096874e-05,37,9.99628646754e-06,58,-4.16802497609e-06,57
occurred,-1.0078588206e-05,80,0.000153342014045,15,4.61765256389e-05,21,-6.83580611996e-06,71
patients treated,-7.95809190444e-06,75,0.00022015609528,6,5.92046731666e-05,10,-1.64149931702e-05,99
approval,1.82317042492e-05,21,-8.19268822567e-05,77,-5.48253789751e-05,79,4.96802099907e-06,26
observed,-5.73945340409e-06,70,0.000130377836932,22,3.70522819945e-05,30,-6.20852444227e-06,68
baseline,-4.85240086083e-06,63,4.00799507338e-05,55,2.78492523056e-05,44,5.29127459685e-06,25
absence,-3.68102807637e-06,58,-1.08431084557e-05,70,-1.2176245921e-06,66,-3.84703172523e-06,56
approved,9.28433083001e-06,30,3.42388992994e-05,59,-1.46256391809e-05,71,-4.34678226779e-06,58
compared,-2.94671084393e-06,53,0.000119552417843,29,3.16519130628e-05,40,-7.957750648e-06,75
2L,3.05303857804e-05,9,-0.00026288033183,89,-0.000118946182209,89,1.54248216849e-05,13
ORR,2.10149590695e-06,39,3.49146324353e-05,58,-1.47600194437e-07,63,-3.66585820207e-06,53
testing,1.16965632732e-05,27,-0.000173402538893,84,-5.00279026325e-05,78,1.37356777081e-05,15
disease,-4.94770687604e-06,65,0.000168900905732,13,4.19051068631e-05,25,-1.03890528501e-05,87
metastatic melanoma,-3.0291785426e-06,54,0.000233550041867,5,5.06934563174e-05,15,-1.58282358284e-05,97
durvalumab,-2.63161788604e-05,99,9.96788380211e-06,64,6.30553057568e-05,6,-1.86229676931e-06,42
cell,-4.95076692285e-06,66,6.61528021693e-06,66,1.70225767614e-05,55,-6.14041917993e-06,66
progressed,8.8819543361e-06,31,4.56222613797e-05,50,-1.07744129733e-05,68,-2.57657683887e-06,48
assessment,-8.69262323406e-06,76,0.000103664733354,32,3.96213881575e-05,27,5.48112552076e-09,37
shared,3.08670867842e-05,8,-0.000315237392625,97,-0.000124611261007,93,1.80293710209e-05,6
institution,2.43870495278e-05,17,-0.000288723009715,92,-9.74717024319e-05,87,1.81111066025e-05,5
lung cancer,7.24950395708e-06,33,9.99765820195e-06,63,-1.40338923336e-05,70,-2.96797896541e-06,51
demonstrated,3.50643622278e-07,42,0.000202795137799,8,3.5242973485e-05,34,-8.99038182974e-06,80
physician,1.87819259813e-05,20,-0.000172795235781,83,-7.03563782695e-05,82,1.25637429867e-05,16
TL stated,3.55096624547e-05,1,-0.000345210187889,100,-0.000140318954465,100,2.11278989334e-05,1
chemo,2.44930253455e-05,16,-0.000191317790119,85,-9.41759534035e-05,86,1.02521946411e-05,17
immune system,-7.29557633179e-06,73,7.12532117424e-05,43,2.40918190476e-05,50,-7.48566807153e-06,73
PD-L1 expression,8.58628460776e-06,32,-6.45460018315e-05,76,-2.46396069256e-05,74,6.30069786142e-06,24
criteria,-3.83812498323e-06,59,4.66085854272e-05,49,1.41254108967e-05,56,-1.76250269895e-06,41
combined,-1.02965086163e-05,82,0.000151168857502,16,5.30523758184e-05,14,-8.44410596009e-06,77
disease progression or unacceptable toxicity,-4.14276404605e-06,60,-1.13116739319e-05,71,8.4810128293e-08,61,-3.84006413727e-06,55
randomized,-5.15512066591e-06,67,4.32371123884e-05,51,2.41823129008e-05,49,-2.30027023581e-06,47
respond,1.54955810149e-05,23,-6.05087315737e-05,75,-4.87155517135e-05,77,2.88158639095e-06,28
