Term,Slope,Rank,Tenth term slope,Tenth term rank,Quarter term slope,Quarter term rank,Half term slope,Half term rank
apix,-4.59857898367e-06,93,-7.28333880789e-06,65,-7.14766415897e-06,89,-4.64193886395e-06,96
tumor,9.57084231142e-07,42,6.0729502125e-06,39,2.97597436209e-06,35,7.36170031407e-07,40
lung cancer,1.01906629126e-06,41,3.8766510297e-05,13,1.10555725158e-05,13,5.28033762174e-07,45
toxicity,2.60627685276e-06,25,1.9053513642e-06,49,1.2105169019e-06,46,7.95670657386e-07,38
SCLC,2.1162459411e-06,32,3.51147509743e-05,16,1.08305891953e-05,15,1.61775654013e-06,30
1L,6.19751453817e-06,4,-3.7637818848e-05,95,1.16584966388e-06,49,5.97350345145e-06,8
pts,1.04237449396e-06,40,-1.85894937795e-05,76,-2.86666157384e-06,72,9.84061512719e-08,50
regarding,-3.05714038878e-06,84,8.60674406637e-06,34,-3.19807385203e-06,76,-2.37764487262e-06,72
Orencia,-3.14327673043e-06,86,1.72299477548e-05,25,-7.00978534362e-07,62,-1.85106945956e-06,67
Empliciti,-4.93905939043e-06,96,-4.89211026998e-06,59,-1.6266739169e-06,65,-3.35130719997e-06,89
use of nivolumab in patients,-9.71147083584e-07,63,4.52687330292e-05,10,7.29804849382e-06,23,-1.95882181927e-06,68
updates,-3.10270630915e-06,85,3.23580738832e-06,45,-1.6694984763e-06,66,-2.47520113516e-06,75
presentation,9.23865782832e-07,44,-4.66068268752e-06,58,4.06949927024e-07,55,2.22510498799e-06,29
NOACs,-4.3704608523e-06,91,2.52308109654e-06,48,-1.13512863436e-05,93,-2.53971080066e-06,78
bleeding,-4.58934625998e-06,92,3.24952824784e-06,44,-1.14017372357e-05,94,-2.89329802701e-06,81
PD-L1,2.80880121714e-06,24,-2.41972841961e-06,56,3.34414523122e-06,31,6.35458420045e-06,5
clinical,-4.71819036201e-07,58,8.29615486484e-06,35,1.45108689417e-07,56,-1.21338879897e-06,61
MSL,-2.63501868331e-06,79,3.17517963844e-06,46,-3.71697507407e-07,60,-2.73822288833e-06,80
study,-2.91596652443e-06,83,-1.09281908317e-05,75,-4.57654510689e-06,80,-2.42832980773e-06,74
EASL,-3.85245927869e-06,90,1.72049476822e-06,50,-5.02102133476e-06,82,-3.03287880741e-06,83
non-small cell lung cancer,2.00594653275e-06,33,5.67120574236e-05,2,1.32677581308e-05,9,2.30655071131e-06,28
chemo,3.27412485251e-06,22,-2.74657312412e-05,86,-1.71073928219e-08,57,2.476138724e-06,27
indication,-5.04175053359e-07,59,-8.0520285978e-06,66,-2.49274642218e-06,70,-5.10963963005e-07,55
OS,2.4103154743e-06,28,-9.61220190274e-06,71,-1.39408784432e-06,64,3.6889696672e-06,19
commented,4.8965345966e-06,7,-3.73386353717e-05,93,-3.08095704302e-06,73,3.94389440452e-06,15
flat dosing,2.20490190879e-06,31,1.33038441797e-05,31,-5.4685947778e-06,86,1.00353592694e-06,37
2L,6.28179105211e-06,3,-3.60956698346e-05,92,1.04188530253e-06,50,5.75673849403e-06,9
radiation,4.82814141227e-07,50,4.16230572339e-05,11,1.18734457718e-05,10,5.40970177996e-08,51
shared,5.0723552368e-06,5,-3.85330109932e-05,96,-2.07515810846e-07,58,4.1079495527e-06,14
abatacept,-2.81151267038e-06,82,1.64450937326e-05,26,-3.06563751908e-07,59,-1.52815487066e-06,63
steroids,-1.1148329684e-06,67,2.42962895557e-05,21,2.05942469494e-06,39,-1.75211609008e-06,66
TL stated,7.26162192388e-06,1,-4.31792285607e-05,99,1.23102064294e-06,45,7.23076521863e-06,1
Ipi,3.80095163868e-06,19,-2.00951589518e-05,79,-5.67374158695e-06,88,2.58752143237e-06,26
reversal,-3.7189183042e-06,88,-1.91828758756e-05,77,-5.29828575314e-06,85,-4.92796715378e-06,97
transplant,-1.72171229878e-06,73,6.44700224116e-06,38,7.53846807491e-07,53,-3.4732909345e-06,91
outcomes,-3.38691279586e-06,87,-3.0764482698e-06,57,-1.37425667076e-05,97,-3.38819683672e-06,90
cancer,-2.0654531476e-06,75,1.45427569912e-05,28,2.5969191808e-06,37,-2.49218682419e-06,77
monotherapy,4.60298090692e-06,12,1.19866976999e-06,52,8.77826982228e-06,18,3.36106146428e-06,22
metastatic,6.05018707746e-07,47,4.60761496279e-05,9,1.71113532066e-05,1,2.82225496693e-07,48
approval,2.49666195737e-06,27,-2.92807184471e-05,88,1.43716469087e-06,44,1.14437316103e-06,34
incidence,-2.06035149433e-06,74,3.59631379951e-05,15,3.20519422208e-06,33,-2.60063618551e-06,79
NVAF,-4.6497443044e-06,95,2.78930014457e-06,47,-1.18430819859e-05,95,-3.2912200894e-06,88
RWD,-4.64339027214e-06,94,-6.88262381689e-07,53,-1.23774606171e-05,96,-2.96209770934e-06,82
efficacy and safety,-3.7270334846e-06,89,2.68864962475e-05,19,-1.00181346285e-05,91,-3.91269445944e-06,95
IO,3.37554237421e-06,21,-2.52661024388e-05,83,3.23324648639e-06,32,2.6918769694e-06,25
physician,2.21248927792e-06,30,-1.95747030612e-05,78,3.0893717288e-06,34,7.50026695081e-07,39
Elo,-4.97804946723e-06,97,-1.05513428112e-05,74,-3.09241328213e-06,74,-3.84174797981e-06,94
institution,4.10066928633e-06,16,-2.07355386158e-05,81,3.92050111858e-06,28,5.56269297598e-06,11
cHL,4.61701212735e-07,51,-1.02239454464e-05,73,2.34766733133e-06,38,-1.37016787468e-06,62
progression,1.42855933834e-06,38,1.40815790408e-05,29,7.91273171444e-06,20,2.26497778638e-07,49
testing,3.46195050546e-06,20,-8.21254408277e-06,67,4.39140669264e-06,27,6.15899886067e-06,6
response,1.89108213211e-06,34,-1.5414972591e-06,55,2.74533348906e-06,36,1.30954966628e-06,32
patients receiving,-1.34249665079e-06,69,2.50362638269e-05,20,1.0162655878e-06,51,-3.26919251018e-06,87
chemotherapy,1.16651838167e-06,39,2.16593433709e-05,22,1.15923506203e-05,12,6.75885486165e-07,43
recommendations,-6.78788544917e-07,61,3.16254753953e-05,18,-1.72719717955e-06,67,-1.96999488648e-06,69
renal cell carcinoma,1.48765566358e-06,37,6.05905015874e-05,1,1.42245774324e-05,7,6.92845950007e-07,42
vs,-8.02490998031e-07,62,-6.09517874284e-06,62,-1.0770917788e-05,92,1.17572196983e-06,33
VTE,-2.743578811e-06,80,4.24856909046e-06,42,-5.10233350498e-06,83,-2.47799500148e-06,76
lymphoma,-4.17373664273e-07,56,5.86647031317e-06,40,1.19928915138e-06,47,-1.65650485385e-06,64
approved,1.5170242882e-06,36,-2.3577196939e-05,82,1.18406606376e-06,48,6.48219771504e-07,44
Merck,3.2494152977e-06,23,-4.01795791956e-05,98,-2.80692717192e-06,71,4.45864097588e-06,12
guidelines,-1.51253886401e-06,70,7.99136708723e-06,36,-1.76185983465e-06,68,-8.07274939113e-07,57
use of Opdivo,-2.46087381346e-06,77,3.71570772097e-05,14,6.40826398078e-06,25,-3.80025193508e-06,93
copy,3.66174548068e-07,53,-1.48832497079e-06,54,-9.63979737563e-07,63,1.5083187049e-06,31
SCCHN,2.33423399809e-06,29,-9.45558870995e-06,70,8.32058125573e-06,19,2.92560702477e-06,24
PD-L1 testing,4.06454429717e-06,17,-7.1115686285e-06,64,3.60231911052e-06,30,6.8510496236e-06,3
