Term,Slope,Rank,Tenth term slope,Tenth term rank,Quarter term slope,Quarter term rank,Half term slope,Half term rank
Objective response rate,5.57911523476e-06,6,2.38478200661e-05,4,7.95652623348e-06,11,2.98020821161e-07,32
provided in the Detailed Information,-1.30057804196e-06,60,-1.30588408297e-05,89,-5.51716237554e-06,93,1.12473240661e-06,23
ORR,6.20033015848e-06,5,1.63895567969e-05,17,6.44622182943e-06,14,2.77795565458e-06,13
patients with advanced or metastatic,-2.34572026437e-06,75,5.89140485987e-06,51,-1.71902027069e-06,73,-2.47485509234e-06,72
PFS,2.10732033369e-06,18,1.61520261295e-05,19,1.68717769214e-06,42,7.77943862929e-07,24
requested,1.0263605287e-06,24,-5.68220818296e-05,100,-1.72760919282e-07,55,1.10565126278e-05,1
Opdivo,-2.43123848656e-06,77,-1.55930074941e-05,92,3.64038361971e-06,26,-3.55931057797e-06,82
Pubmed literature search,-4.67977652167e-06,95,6.45762301986e-06,44,1.02789550953e-05,5,-3.48411855831e-06,80
Median overall survival,4.91997095092e-06,10,2.29732949873e-05,5,8.93584726072e-06,9,4.18465230271e-06,7
purposes other than its labeled indication must be considered investigational,-5.42710639882e-06,98,9.79363865253e-06,33,1.13164116992e-05,2,-3.16058322135e-06,79
protocol,-1.6179065798e-06,67,2.01471831865e-06,69,1.15102086606e-06,46,-2.57186467893e-06,74
monotherapy,2.0424775526e-06,19,1.99255335347e-05,10,3.37529065692e-06,27,1.26382105027e-07,34
not identify any citations relevant to your inquiry,-4.5523199771e-06,94,5.21446793408e-06,57,9.58626830912e-06,7,-3.6208469609e-06,83
adverse,-7.18438380965e-07,47,6.02992929213e-06,47,1.77156450375e-06,39,-1.63136967169e-06,57
RCC,5.33386437307e-06,7,1.87014701449e-05,12,-2.7982165135e-05,100,-6.39728953117e-06,100
nivolumab combined with ipilimumab,-2.42748730091e-06,76,5.22810619975e-06,56,-1.20968409172e-06,68,-2.25970130808e-06,68
McDermott DF,-1.5553910631e-06,65,5.9873397874e-06,48,3.22208458545e-06,28,-1.94157623423e-06,64
search of published literature,-3.16990144624e-06,83,7.05857678764e-06,43,7.08254269681e-07,51,-1.77929700923e-06,58
Additionally,-1.26486363241e-06,59,7.98994947579e-06,39,-3.46688802297e-06,83,-1.51634595108e-06,53
ipilimumab,1.29131435414e-06,23,1.49126318782e-05,22,-2.54162506558e-06,78,-2.38506427181e-06,71
ongoing,-8.21914838154e-07,48,8.86834117338e-06,37,-3.5156145077e-06,85,-1.45134017823e-06,51
Motzer RJ,-1.56260716496e-06,66,3.73377581238e-06,63,2.26907074341e-06,34,-2.23541826387e-06,67
clinical,3.41906275867e-07,29,-1.96381237783e-05,95,-7.90503174211e-06,96,-5.76497212147e-07,43
tumors,-1.34219282528e-06,61,5.76454887374e-06,52,-4.80509813669e-07,58,-3.04573681818e-06,76
ESMO,2.3455912797e-06,16,-3.43432086024e-05,98,-1.24921115269e-05,98,9.47653389613e-06,3
phase 3 study,-2.71212105518e-06,80,1.71065804877e-05,14,1.67973386136e-06,43,-5.05969908503e-06,96
PubMed and EMBASE,-2.94005212897e-06,81,5.97318033063e-06,49,1.53493950944e-07,53,-1.81992405219e-06,61
Median OS,6.6803929527e-06,3,1.38728490809e-05,26,1.03629165581e-05,4,5.76247849893e-06,4
Escudier B,-1.48944027579e-06,64,3.58408217425e-06,64,2.29722966895e-06,33,-1.98523701285e-06,66
ASCO 2015,2.58809136629e-06,15,1.96212980808e-05,11,-1.49880794213e-06,71,-2.36284254349e-06,70
not approved,-3.56859733796e-06,89,-7.73016126756e-06,86,4.52970394994e-06,17,1.97161573698e-06,19
NEJM,-6.63335901658e-07,46,5.1752659507e-06,58,2.97210566191e-06,30,3.90787529517e-07,29
et al.,-9.68521103222e-07,50,6.2415311911e-07,74,1.71469937804e-06,41,-5.480626103e-07,42
J Clin Oncol,-1.80902560504e-06,69,9.49195759969e-06,34,4.3559335729e-06,18,-2.48346430241e-06,73
Topalian,-1.40216811158e-06,63,6.25673678246e-06,46,2.37700596548e-06,32,4.02459245537e-07,27
open-label,-1.9216953774e-06,72,-3.45018779001e-06,80,1.75074161239e-06,40,3.41829238867e-07,31
using the following search terms,-4.40339281085e-06,93,4.25867558148e-06,62,9.96153957129e-06,6,-3.81619656841e-06,86
detailed search of www.clinicaltrials.gov,-1.02248360709e-06,54,7.21016630685e-06,42,-3.56053426298e-06,87,-1.30084545924e-06,49
clinical trials investigating the safety,-3.70550601366e-06,91,-8.5536663069e-06,87,3.89960772028e-06,25,2.19575485892e-06,18
melanoma,-1.7198475535e-06,68,8.88025340706e-06,36,2.15810267003e-06,35,-1.88121606591e-06,62
phase 1 study,-1.85191846966e-06,70,3.15566730678e-05,1,1.60154313429e-06,45,-5.36088643886e-06,99
Rizvi NA,1.45210276537e-07,34,1.90997489164e-06,70,-2.91449497056e-06,80,-4.42488457677e-06,91
Brahmer J,1.61013944987e-06,21,-2.17629423156e-05,97,-5.28353279503e-06,92,3.09362096521e-06,10
small cell lung cancer,-1.63076701901e-07,41,1.43253940601e-05,25,-6.10401271265e-07,61,-4.53126031972e-06,92
PD-L1,2.69057087863e-06,14,-2.06894777612e-05,96,-3.48288615002e-06,84,2.6234792501e-06,16
trial,-3.2514658502e-06,84,-7.11647775604e-06,83,-1.43748012533e-06,70,-1.81010469971e-06,60
efficacy and safety of nivolumab,-5.29240850974e-06,97,1.62714961622e-05,18,6.07182449732e-06,15,-1.045223946e-06,47
not identify any planned,-6.45146826782e-07,45,8.03331071111e-06,38,-3.84173329119e-06,88,-1.3792834009e-06,50
mg,6.11370017175e-08,36,2.04573704808e-05,8,-5.88078426795e-07,60,-1.00068898829e-06,46
combination,9.13578368272e-07,25,1.29630384838e-05,29,-3.19094513793e-06,82,-3.05289915859e-06,77
clinicaltrials.gov,-2.46842439522e-06,79,-3.53341807502e-06,81,1.85724004209e-06,38,-3.18644607691e-07,39
CA209-003,-1.86607593632e-06,71,2.38600296593e-05,3,4.04887636439e-06,21,-4.57790119757e-06,93
Weber JS,-9.77523779863e-07,52,2.19126014637e-06,67,-6.77484358811e-07,62,-5.05080835555e-06,95
BMS,8.69598649821e-09,38,-1.4835599028e-05,90,-5.74194347534e-06,94,-7.05284339131e-07,44
safety,-9.74319770127e-07,51,-5.95146016512e-07,76,3.90465873968e-06,24,-1.05175775047e-06,48
docetaxel,3.025284042e-06,12,-1.78431264456e-05,94,2.06008372659e-06,37,2.84010259319e-06,12
phase 2 study,-2.03606239199e-06,73,1.46453497728e-05,23,2.08789465018e-06,36,-4.15976277013e-06,90
fatigue,-1.24459892204e-06,58,4.47586463876e-06,60,-1.92035413377e-06,74,-3.03689868419e-07,38
partial response,2.91190363396e-07,31,2.91911337262e-06,66,-4.07209936756e-06,89,-1.5322594872e-06,54
grade,4.31097064834e-07,27,-5.01461939209e-06,82,-2.86125349442e-06,79,-1.78587473174e-06,59
kg,-5.48655659781e-08,39,1.77297148395e-05,13,-1.07455070161e-06,66,-5.20119890433e-07,41
SCLC,3.3245257463e-07,30,1.49579942498e-05,21,-2.1506942618e-07,56,-4.81421049677e-06,94
Antonia SJ,4.3843192513e-06,11,7.88153909801e-06,40,-3.25755420378e-07,57,-3.88905993147e-06,88
not identify any citations relevant to your request,-2.24348940935e-06,74,5.64310557606e-06,53,-1.59642015732e-06,72,-1.54470076925e-06,55
therapy,-3.5016148514e-07,44,1.32107979115e-05,28,-1.92753068356e-06,75,-5.19239875882e-06,98
present using the following search terms,-3.76931690531e-06,92,5.51348718608e-06,54,2.70033495853e-06,31,-1.49477144668e-06,52
Horn L,2.98096559597e-06,13,-4.20346014437e-05,99,-1.71934780939e-05,99,1.05556544058e-05,2
relapsed,-2.90402044124e-07,43,-1.13836391632e-07,75,3.30683289757e-07,52,-7.19498142429e-07,45
hazard ratio,4.98836350389e-06,9,2.28682247398e-05,6,1.10851660042e-05,3,4.48578454092e-06,6
safety of nivolumab monotherapy,-3.3415677532e-06,87,-9.05730359517e-06,88,8.871817027e-07,49,5.42673312452e-07,26
phase,-3.32376748224e-06,86,8.64235476124e-07,73,1.14056577339e-06,47,-1.96160847453e-06,65
investigating,-1.08309934108e-06,56,1.44325683597e-05,24,3.05313323681e-06,29,-1.59211837631e-06,56
Overall survival,-2.47720673238e-07,42,1.66157115651e-05,15,1.65064326414e-06,44,1.53279024392e-06,20
Stable disease,6.59566345947e-07,26,3.01929328546e-06,65,-5.01911127402e-06,91,-8.49529437243e-08,36
grade 3 to 4 AEs,-5.92763931172e-08,40,5.23689611204e-06,55,-1.97821626269e-06,77,3.99430041593e-07,28
databases,1.632187842e-07,33,-2.0557577187e-06,79,4.14388050154e-06,20,-4.22682579604e-07,40
Median duration of response,5.0128834985e-06,8,6.30732521532e-06,45,-4.82772111711e-08,54,-3.62508078159e-06,84
cohort,4.26740140245e-07,28,7.38518170778e-06,41,-3.52283934553e-06,86,5.74757513358e-07,25
phase 1/2 study CA209-032,-8.87650575952e-07,49,1.17667062563e-05,31,-8.16638677163e-07,64,-3.82283816008e-06,87
platinum-based doublet chemotherapy,1.38452294007e-06,22,-1.68015577972e-05,93,-1.18921371848e-05,97,5.20131397994e-06,5
reported,-1.00898141593e-06,53,1.32176068683e-06,71,4.90297589856e-06,16,-1.88527631097e-06,63
bladder cancer,-3.54476158671e-06,88,-7.92625678453e-07,77,-1.96974715782e-06,76,1.08483373213e-07,35
evaluates the efficacy of nivolumab monotherapy,-1.10613595219e-06,57,1.01169586005e-05,32,-8.94739809033e-07,65,-3.49219507821e-06,81
