driver,type,subset,impact,score,related_terms,doc_count,example_doc,example_doc2,example_doc3
limited,auto_found,Month,-2.0496340149677534,-0.1952219958997652,"['limited', 'eligible', 'standard of care', 'approved']",226,"Thought leaders in a large community practices express concern around safety of regimen.  Patients did not tolerate single agent Yervoy, and thus hesitancy to offer regimen.  Our field sales rep have limited access to many of these practices.  Many times information is left with receptionist.",Community physicians hesitate to initiate immunotherapy due to safety profile.  Reluctant to utilize high dose corticosteroids due to its side effect profile in the older population and comorbid conditions.  Nursing inservice provided on managing patients receiving immunotherapy using resources/tools.  Discussion around limited options for treatments many of these patients was provided.  Long term  benefit of immunotherapy discussed.,"Neuro-ONC stated that in ""slow growth"" recurrent GBM patients that he will try combinations of Opdivo, Opdivo+Bev, Opdivo+Yervoy.  Has had limited success with each possible, but stated that ""limited success is still success in GMB."""
single agent,auto_found,Month,-3.252973992751614,-0.15973668118997514,"['not tolerate', 'single agent', 'bevacizumab', 'everolimus']",117,National TL expressed content with the efficacy of the regimen. Has 6 patients on regimen and a few now receiving single agent and all are responding,"Thought leaders in a large community practices express concern around safety of regimen.  Patients did not tolerate single agent Yervoy, and thus hesitancy to offer regimen.  Our field sales rep have limited access to many of these practices.  Many times information is left with receptionist.",Community TL shared that he has recently presented a melanoma patients to two separate physicians at MD Anderson (site is affiliated with MDACC)  and they both gave a different response on how to treat. One suggested only anti-PD1 monotherapy and the other suggested regimen. He was very frustrated and suggested we work hard to develop a useful biomarker(s) for helping community physicians know when to use regimen vs single agent.
likely,auto_found,Month,-1.4463143808748808,-0.14451558873675321,"['likely', 'regardless']",177,"Biomedical Learning Institute 1st Annual Symposium on Integrating Immune Therapies & Target Therapies into Standards of Care for Heme and Solid Malignancies; San Fran Sept 10, 2016 
Well Attended with over 200 attendees/ Merck was a sponsor as well as other companies (foundation medicine).   BMS was not one of the major sponsors.  

Lung: One of the major questions was: Are antiPD-1 agents interchangeable, and the presenters overall argued for yes they are the same (nivo/pembro). The schedule differences were mentioned several times highlighting Pembro
Insights 
?	Oak Trial results were mentioned for Atezo (Atezo was alleged as More toxic of the agents)
?	Pembro and Nivo have same toxicity profile
?	We don?t need a cross trial comparison since the populations were very similar and Nivo performs regardless of pd staining percentages
?	Commented that there are so many duplicative 2nd line trials amongst PD-1 inhibitors.  There is pressure to move into front line setting.  
?	In reference to 1st line lung press releases ? ?Merck cherry picked their patients? for trial, and consensus was that no doc on panel board would use off label 1st line IO tx unless on trial, they are all waiting for data; they all concluded that BMS strategy in 1st line did not pay off, and chemo ?isn?t going anywhere?, since only 50% of pts likely have pd expression. One TL did comment that if he did he would use Pembro as the data is there and it has the best schedule. 
?	Awaiting Blueprint project for further information on which testing to use (docs agreed that most facilities will pick one test and use exclusively due to cost and training)
?	All panel board docs advised audience to get PD status on new dx pts.  The question was asked if testing should be mandatory for newly diagnosed patients and they all said yes.  
?	National TL discussed Nivo trial looking at OS by PDL1 expression and stated 10% had better OS and that PDL-1 staining does predict OS. 
?	A lot of excitement over Ipi/Nivo combo in Lung  
1.	Mentioned that it is very alluring to give a boost of Ipi when single agent IO is fizzling to boost responses (no data to support however)
?	*Pseudoprogression mentioned many times ?does not exist in lung? ?pts refuse to be taken off of tx even in the face of wild progression?
?	Mentioned BMS 153 trial looking at early stopping of tx  Discussed the need to look at how long to continue these therapies.  TL went on to say he wasn?t sure how the data would pan out with this trial since many patients don?t survive to 1 year which is the cutoff for the trial to continue without therapy.
Costs: Cost was mentioned many times with one quote from podium for Lung 1st Line ?The only thing more expensive than IO is IO combo? 


Melanoma: Dr. J. Weber was one of the 2 presenters- NTL 
*Discussed BRAF pts to use targeted or IO first line setting (no consensus, both sides argued)
*Weber alleged Ipi/Nivo regimen is ?very toxic? and ?very effective? tx. Targeted Tx?s are less toxic that Combo IO. 
*advised audience to use 8 weeks of Targeted tx and move on to regimen of ipi/nivo
*Tvec treatment cant compare to IO
*064 Trial highlighted as switch approach 
*Encouraged extrapolating data from Lung Trial 012 for melanoma and to use reversed dosing or Ipi Q6w or Q12w
*believes adding braf inh target tx to IO combo will be very effective

Other solid Tumor:
-Pancreas: stated due to hypoxic pancreas tumor micro-environment and no local tcells that single agent antiPD1 hasn?t worked so far
Prostate: Discussed ipi negative trial and that bone disease only arm did much better 
H&N: Stated Nivo is new standard of care",NTL for Pediatric lymphoma at a large academic center stated that Nivolumab is very good for PRs with not as many CRs so it would likely not be used as a single agent earlier in the disease.,NP and speaker previously reported that they treated a couple of young BRAF + patients with rapidly progressing disease drabrafenib/mekinist + opdivo 3/ ipi 1. Both of the patients needed to discontinue due to toxicity. Patients are on the BRAF/MEK inhibitors until they progress and will likely introduce the regimen after that
anti-PD-L1,auto_found,Month,-2.300811288924264,-0.1350796568990535,"['combo', 'anti-PD-L1', 'bevacizumab', 'standard of care', 'combination', 'everolimus', 'enrollment']",449,"RTL from a large community institution mentioned that he was ""surprised that the safety of PD-L1 inhibitors (i.e., avelumab) wasn't as good as PD-1 inhibitors"" in terms of reducing immune-mediated AEs (as originally thought).  RTL was actually one of the authors for the JAVELIN solid tumor trial for avelumab (anti-PD-L1) presented at ASCO.  Interestingly in that poster, RTL mentioned that there was also a 16% infusion-related reaction rate from the 1,300 patients enrolled (pan-tumor), which mandated a premed regimen of APAP and Benadryl into the protocol.","Lung RTL volunteered the following information about the MYSTIC 1st line trial in patients with NSCLC of Durvalumab (anti-PD-L1) +/- Tremelimumab (anti-CTLA-4) versus Standard of Care (chemotherapy)

-          TL?s site at top of enrollment (target close to 800 patients).  Fairly easy to convince patients to participate.
-          Randomization was 1:1:1
-          Site enrolled 16 patients; 4 screen failed ; 12 treated
-          Thinks 4-5 patients received combination of Durvalumab and Tremelimumab.  Thinks 2-3 had Objective Responses
-          Combination very well tolerated.
-          Infusion of both drugs on same day (in combination arm) at 4 week intervals.  Tremelimumab limited to 4 doses maximum.  Durvalumab treatment until progression of unacceptable toxicity.","Several RTL in NY have all noted at least one patient case where a patient is currently responding to the Regimen and the ORR appears to be better than prior responses to a prior PD-1 / PD-L1 therapy.  Appears to be trend to response to Regimen if some prior but minimal /transient response.  Examples:
-	Patient with uveal melanoma.  Minor /short duration response to Pembro.  Progressed quickly on targeted therapy clinical trial, responding well for 3+ months to Regimen
-	Patient with melanoma.  Progressed on anti-PD-L1 trial, stable disease for a few months with Pembro, progressed on BRAF/Mek, good response to Regimen
-	Service has tried Regimen after progression on Pembro as first line therapy in about 5 patients.  TL believes they have seen objective responses in 2 patients."
candidates,auto_found,Month,-1.6607362028032886,-0.13030996277521703,"['not tolerate', 'eligible', 'candidates', 'patients', 'relapsed', 'treatment options']",1787,"Melanoma RTL stated you need to approach treating a pt with regimen with flexibility.  First, make sure the patient is a good candidate (PS, comorbidities, can they tolerate).  Secondly, some pts may tolerate all 4 doses with no issue while others may have significant toxicity after 1 dose requiring discontinuation, but patient may respond to just 1 dose.  Physicians need to assure the patients may continue to respond after treatment or even when they discontinue the medicine.  TL referred to ASCO data where pts where off treatment and continued to respond durability.  She stated we need to under the biological underpinnings of these types observations.  What baseline immune characteristics allow one pt to only tolerate 1 dose and another patient can tolerate all 4 doses with no issue.  TL also stated BMS needs more studies looking at when to discontinue Regimen or single agent Nivo for pts who have achieved deep response and maintained it for a period of time.",RTL at academic center reports would like to utilize nivo in patients who are not BV candidates either due to peripheral neuropathy from ABVD or DM or who have received BV and unable to continue due to peripheral neuropathy,NTL at a large academic center stated that there needs to be an interest on BMS part for CAR-T in NHL.  He is nterested in research with CART cell therapy in second line lymphoma.  He would give CHOP then transplant then candidate for CART.  Noticed significant Lymphocyte depletion and hard to collect T cells. Give Nivo then response without depleting T cells and can achieve CRs with enhancement of lymphocytes prior to CART.
recommended,auto_found,Month,-1.8322359425707893,-0.12907317355354977,"['recommended', 'advised']",45,Regional TL reports that Merck reps are recommending that doctors use the Opdivo app for a management algorithm for pembro,"HCP has questions around management of IMARs and fevers.  Reviewed IMAR guide, algorithm.  Also discussion around fevers and recommended febrile work-up.  Possible cytokine release and treat as IMAR if no source of febrile episode. Also questions around efficacy with steroids and IMARs.",TL shared that when treating melanoma patient with regimen he routinely monitors CPK and troponin during combo phase due to risk for cardio tox (observed in several patients on study). Recommends that BMS educate physicians on monitoring for this when using regimen.
obtain,auto_found,Month,-2.356162936320532,-0.11389618831824766,"['eligible', 'previously', 'obtain', 'attempting']",108,Melanoma RTL shared that she's seen a correlation with pts. that obtain a response with Nivolumab that develop a certain type of rash.  She commented that it's much different then the Ipi induced rash.  It's a lichenoid keratosis or development of these pink scaly plaques that can develop anywhere on the body.  She is in the process of submitting her findings to the JAMA dermatology.,"Part of a matrix presentation to a State Oncology Society.  As part of our discussion with the society staff and physician leadership, the following insights were obtained:

1. Significant dissatisfaction with BMS over the use of television marketing.  Two physicians present both indicated they felt that the use of commercials for Nivolumab was unethical.  One physician stated he felt it was ""morally irreprehensible"" and expressed extreme frustration at having to take time with patients to explain why they aren't candidates for Nivolumab that he would have been using to discuss the treatment he was going to be prescribing for them.  The Society administrators commented that this is a common theme that has been previously verbalized by multiple physician groups that are part of the state society.

2.  Physicians identified the need for more IO education for their staff members - particularly the mid--level providers.  This was an outstanding opportunity to provide information on the IOCL efforts and the various educational resources the BMS provides (wallet cards, patient checklist, IMAR guides).  The physicians were both very impressed with the information provided and indicated that they would be in contact with me to come speak to their staffs

3.  The need for talks that could have CE associated with them at their annual meeting.  They were provided information on our unbranded materials and also the Unbranded IO talk.

4.  Physicians and society staff verbalized concerns related to cost and this provided an opportunity for a discussion on this by the matrix members including data on BMS' premier access program.  The attendees expressed interest in knowing more about these programs.

5.  One physician did comment on treating a 90+ y/o patient with nivolumab with metastatic melanoma who decided to stop treatment after two doses.  The patient went on palliative care following that, but the physician is getting texts every 3 weeks from the patient's son indicating that the large lesion on his father's back continues to regress and the patient is doing very well.

6.  One physician downloaded our Opdivo APP while we were meeting with the group!",RTL stated that he has had great success with obtaining Opdivo off label for treatment of HL patients through BMS access support.
3L,auto_found,Month,-1.4586233043622276,-0.10748273040197595,"['not tolerate', 'cabozatanib', 'combo', 'bevacizumab', 'standard of care', '3L', 'remains', 'everolimus', 'treatment options', 'axitinib', 'tend']",338,"A national lung TL said that Ramacirumab and DTX is ""firmly"" a 3L regimen because of the superiority of IO therapies.","community GU RTL who had significant experience with cabozatanib in previous prostate studies, shared that the he experienced very significant toxicities with the drug, even with dose reduction, in that trial and will likely not use it in RCC.  Current treatment strategy generally: sunitinib-->nivolumab->everolimus-->axitinib->single agent bevacizumab.  TL does not anticipate that he will change his patterns once cabo is approved, but states that if approved, would consider using levatinib+everolimus preferentially for 3L.","Academic TL stated that his nivo non-benefittors (ie, PD w/o any SD/PR) tend to progress at a much faster pace than their 1L progression, sometimes causing them to not be able to get a 3L therapy.  However if they have had any benefit, even a short term slowing of disease prior to progression, their progression is much more tapered and they tend to do better on 3L chemos"
requiring,auto_found,Month,-1.999239430411477,-0.10207900261493784,"['requiring', 'rapid']",72,Community thought leader reporting that our competitor MERCK is offering 100% guaranteed coverage for their product on all off label use.  Thought leader continues to use OPDIVO for his patients because no testing required.,An academic RTL shared that in clinical practice a challenge he is faced with is patients with BRAF mutation that progress on BRAFi often have brain mets that require RT and steroids. This impacts the ability to initiate immunotherapy in these patients due to the requirement to be on less than 10mg prednisone equivalents,Community HCP reporting that he is seeing all his OPDIVO patients every treatment and is still having to discontinue treatment due to pneumonitis.  Teaching provided to nurses and support staff around identifying symptoms early.  Patients needing to be educated on contacting office with early onset of changes from baseline so patients do not need to be discontinued..  Perception here is that physicians feels he is closely following patient and still patients having IMARs requiring d/c of treatment and lesser response rate with this office.  Physician hesitating use of OPDIVO and possibly use PEMBRO in his high PDl-1 expressors which means he now wants to test where is was not testing.
discontinuation,auto_found,Month,-1.631282241772301,-0.09982015027162412,"['discontinue', 'discontinuation']",54,"Dipak Mistry (MSL) and Jai Puthenveettil (HSL) met with David McDermott, MD, a national thought leader in melanoma and RCC, to discuss the cost of Opdivo+Yervoy regimen in solid tumors in advance of his podium presentation at AACR.  Based on a slide that he had received from another thought leader, he was under the misperception that regimen cost $296,000 for the typical melanoma patient.  We presented the cost analysis incorporating the median number of doses and the discontinuation data from CheckMate 067 and CheckMate 069 to educate him on the true cost of the regimen.  As a result, he plans to use the lower cost estimate of $151,000 in his AACR presentation, instead of his earlier estimate of $296,000.","RTL shared that essentially all of his NSCLC nivo  responders are progressing after about 6 months.  His only longer-term responders had an early toxicity requiring discontinuation, so he believe toxicity does have a positive correlation. TL does not think that PD1 monotherapy will provide LT durable survival and that emergence of other checkpoints may be contributing to 'resistance'.  While understands that they are the obvious starting spots for trials, does not believe that either ipi or chemo combo will be more effective. Is excited to see partners such as as CD138, KIR, OX40","Speaking at a dinner program, melanoma NTL answered a question that he doesn't believe incidence of imAE corresponds with patient responsiveness, and that he sees danger in the idea. Specifically, he thinks that if patients learn of the idea that having a side effect might correspond with having a better response, they might be less open about reporting AEs thinking it might lead to discontinuation. He described a ""otherwise very smart"" patient who wouldn't report high-grade colitis for this reason. He only eventually learned of it because the patient's wife called. The patient was admitted for in-patient service."
determine,auto_found,Month,-1.2261118257600938,-0.09844850711070904,"['regardless', 'determine', 'derive', 'differentiate', 'status']",264,"onc practice in Houston, tx was treating patient with met melanoma with brain mets  with combo yervoy/opdivo while patient remained  for a prolonged time on high dose of corticosteroids. Subsequently,  patient has developed significant bilateral muscle weakness, lethargy, confusion which was susspected by examining neurologist as possible IO induced encephalitis. After MRI and LP it was determined that patient was suffering from steroid induced myopathy.","Met with national Lymphoma AI/TL, who shared the following unsolicited insights
?	AI stated that due to shortage of Bleomycin as part of the ABVD front line treatment, her practice is substituting Brentuximab Vedotin (BV) for Bleomycin as part of the regimen.
?	She says other colleagues in the region either substitute BV for Bleomycin or are giving 2-3 cycles of Bleomycin and then discontinuing it and continuing with other components of the regimen.
?	She was quite disappointed that the early phase trials group communicated to her that the Checkmate 205 Cohort D will not be opening a trial at her institution, as she has been an active investigator in the 205 trial overall.  This issue has been escalated to leadership to determine if this decision is final and if so, to provide a rationale response to investigator.","TL shared 2 instances where patients (on nivo) presented to the ER (for treatment of unspecified AE), ER physician reported to the patient their disease was spreading / progressing, one patient had plans to go on hospice but upon follow-up with their oncologist it was determined that the scans likely showed pseudoprogression vs. true progression; TL feels education beyond even AE management can sometimes be needed by non-oncologist physicians"
prolonged,auto_found,Month,-1.8856738874346244,-0.09768633262735726,"['progression', 'achieved', 'duration', 'responders', 'prolonged', 'durability', 'rapid', 'tend', 'decrease', 'durable']",345,"onc practice in Houston, tx was treating patient with met melanoma with brain mets  with combo yervoy/opdivo while patient remained  for a prolonged time on high dose of corticosteroids. Subsequently,  patient has developed significant bilateral muscle weakness, lethargy, confusion which was susspected by examining neurologist as possible IO induced encephalitis. After MRI and LP it was determined that patient was suffering from steroid induced myopathy.","RTL interested in looking at adding a PD1 inhibitor to BCMA CAR therapy to prolong the CAR response. Possible idea would be to add nivolumab as CAR T response begins to decline, and not silmultaneously due to CAR T toxicity exacerbation, mostly of increased cytokines release.","Met with a regional RCC/melanoma AI for a major regional health system, who provided the following unsolicited insights:
?	AI expressed interest in value comparison of regimen versus Nivo monotherapy in melanoma.  Reactively shared HEOR regimen versus Nivolumab monotherapy slides, showing that the cost of regimen versus monotherapy in melanoma is only 6% higher with regimen compared to monotherapy.  
?	He expressed that he prefers to use regimen rather than monotherapy, due to the heightened efficacy.  
?	He expressed that he has encountered access hurdles when prescribing regimen for Oregon Medicare patients, while he has not encountered such hurdles for monotherapy.
?	He expressed that he has seen reluctance with community docs in initiating steroid treatment of immune AE?s, due to fear of suppressing immune system concurrently.  When community docs have reached out, he has been relaying the message that this is not the case in the stage where patients are developing immune AE?s after the initiation period and that steroids can be effectively used to manage immune AE?s when they occur.  
?	Reactively shared with AI the Checkmate 069 ASCO analysis showing similar clinical benefit in terms of OS/PFS at 2 years, which reinforced AI?s belief in the prolonged duration of therapy seen with Nivo, and reinforces value equation of regimen."
Community TL shared,auto_found,Month,-1.5989940886047986,-0.09438030566569922,"['currently', 'approved', 'Community TL shared', 'RTL shared']",348,Community TL shared that he has recently presented a melanoma patients to two separate physicians at MD Anderson (site is affiliated with MDACC)  and they both gave a different response on how to treat. One suggested only anti-PD1 monotherapy and the other suggested regimen. He was very frustrated and suggested we work hard to develop a useful biomarker(s) for helping community physicians know when to use regimen vs single agent.,"A community TL shared that Merck (mentioned rep, but I am assuming he meant MSL) is proactively speaking to the -067 PDL1 data contained in our label to point out that in PDL1+ melanoma patients, use of single agent anti-PD1 gets the same results as combined nivolumab+ipilimumab.",A community TL shared that his very first patient on an avelumab clinical trial experienced a grade 3 infusion reaction.
