doc_id,doc_text,doc_date,Subset 0,Subset 0_centrality,Theme 0,Theme 1,Theme 2,Theme 3,Theme 4,Theme 5,Theme 6
uuid-9c11221ba82149f69d4288a81c898aa3,"[026 - NOT Top 300; ""opted in""]  RTL from a large, progressive community institution (who also happens to be an investigator for KEYNOTE-021) was NOT thrilled about 026.

RTL is very ready to adopt pembro in first-line NSCLC based on KEYNOTE-024 for patients >50% PD-L1 expression.  All NSCLC patients at his institution and its satellites get tested for PD-L1 expression. RTL will otherwise give chemo for patients <50% PD-L1 in first-line based on 026.

RTL is eager to see the results for 227.  As he was also a PI for KEYNOTE-021, RTL is interested how the patients do in the nivo + chemo arm for PD-L1 <1%.",0, 10,0.0957761,0,0,0,0,0,0,0
uuid-e812126883434bec871ff9c65050efc1,"RTL from a large, progressive community institution (who also happens to be an investigator for KEYNOTE-055) is more inclined to use nivo in rec/met SCCHN within clinical practice than pembro based on data from CheckMate 141 as it was a Phase 3 study with a comparator arm of IC chemo.  RTL is eagerly anticipating the approval for nivo for SCCHN.",0, 10,0.0949935,0,0,0,0,0,0,0
uuid-02d80731b96647b28db43c88c2dee2bd,"[026 - NOT Top 300; ""opted in""]  RTL from a large, progressive community institution is very ready to adopt pembro in first-line NSCLC based on KEYNOTE-024 for patients >50% PD-L1 expression.

All NSCLC patients at his institution and its satellites get tested for PD-L1 expression.  RTL will otherwise give chemo for patients <50% PD-L1 in first-line based on 026.",0, 10,0.0662413,0,0,0,0,0,0,0
uuid-16246455fd674468a4475080844b4b8a,"In regards to treatment duration, a TL commented that he felt we are 'overstimulating' with anti-PD1 agents and may be driving PD1 resistance (secondary resistance) by continuing treatment until progression/toxicity.Sustained PD1 blockade could drive T-cell apoptosis and/or stimulate other checkpoint inhibition pathways.",0, 2,0.0622524,0,0,0,0,0,0,0
uuid-bb470a96cf8e465499d337245815e60e,A community LTL shared that they participated in the treme/durva lung trial and that it enrolled a year earlier than anticipated because everyone has strong confidence in the dual inhibition approach working. His initial impression was that there was not a difference between compounds in the early phase data.,0, 7,0.101288,0,0,0,0,0,0,0
uuid-7bcd20b977fc4dec889176e7a9753cba,A community pharmacist shared that he feels the biggest data gap in lung is what to do with patients who fail IO therapy. He shared that they are beginning to re-challenge patients with IO and the sequence that they have been using is nivo followed by pembro in patients who are clearly progressing. He shared that they have not seen responses in the three patients that they have re-challenged so far but they have seen stable disease.,0, 7,0.260604,0,0,0,0,0,0,0
uuid-94e154c257e54fca861f1b79e749da57,Community TL said they have used nivolumab in pt with sarcoma which resulted in complete response.  The pt has received treatment for 18 months without toxicity.,0, 10,0.0909747,0,0,0,0,0,0,0
uuid-c8c34b5451dc4cd2bb14109755af57e4,Melanoma NTL said from GR podium that the incidence of nivolumab-related myocarditis/myositis is ~ 0.25%.  Estimates deaths in nivo clinical development program to be 5 from myositits and 6 from myocarditis.,0, 10,-0.014873,0,0,0,0,0,0,0
uuid-60df59dd86584a84b30ca2753f933fdb,"HCP shares a MM patient with a NTL at Mount Sinai. The patient relapsed on multiple therapies, including Rd, Kyprolis, and double transplant. NTL said ?no? to Empliciti and Daratumumab and suggested HCP to treat patient with Opdivo off-label. The off-label recommendation was based on the results from the study ?Preliminary Results of a Phase I Study of Nivolumab (BMS-936558) in Patients with Relapsed or Refractory Lymphoid Malignancies? presented at ASH in December 2015. The patient received one-dose and is being closely monitored.",0, 7,0.212909,0,0,0,0,0,0,0
uuid-e6df6b614763454aa8838ccdb28f8fa0,"RTL participating in a pembrolizumab/CarT trial and it is going well thus far. Patients seem to be responding well, and toxicities aren't a concern.",0, 4,0.230042,0,0,0,0,0,0,0
uuid-ce53320aec8d47be8855ac7484c04f86,RTL feels that the checkpoint inhibitors will be practice changing in lymphoma and is looking forward to approval.,0, 4,0.117774,0,0,0,0,0,0,0
uuid-b658cb1151944a63a8d759d300aec533,"RTL treated a HL patient with cutaneous lesions with Opdivo, and saw a ""great abscopal effect"". Feels that this would be a good area of research to develop.",0, 4,0.229965,0,0,0,0,0,0,0
uuid-e597c30798a54c28b49ebc1b5f9ff187,"An LTL from community/academic location, shared that she used nivolumab (over pembro) in the 1st line metastatic melanoma setting.  upon progression, she will use 2nd line.  With regards to Regimen for 1st line (or any-line), she said the toxicity is too high and sends those pts into academic locations in Boston.",0, 4,0.132172,0,0,0,0,0,0,0
uuid-61c26ac0f5c94a65908af2345d73f555,An RTL was impressed with the CheckMate 141 data for H&N. However questioned if we should be testing for PD-L1 since the OS was more significant in the PD-L1>1% group.,0, 4,0.0104646,0,0,0,0,0,0,0
uuid-ed74a388ee85456fa0983f42beeb8103,"RTL clinical trial interest, using nivolumab as maintenance therapy in HL. Consider looking at T-cell phenotype pre and during nivo therapy, to see the changes that can occur. Interested in use of maintenance in patients, and looking at phenotypes, could assist with whether or not it may be possible.",0, 4,0.133494,0,0,0,0,0,0,0
uuid-f2dcb763136f4263953114735fff88ff,"RTL doesn't feel there is a difference in using pembro versus nivo and has had more access to pembro in clinical trials for lymphoma. He has treated patients with both compounds off label, with success.",0, 4,0.124451,0,0,0,0,0,0,0
uuid-553dc3036a6f48b9a3357ece525ad788,RTL stated that he has had great success with obtaining Opdivo off label for treatment of HL patients through BMS access support.,0, 4,0.209645,0,0,0,0,0,0,0
uuid-eecde2c8473f422ca2aa49f7eca3c2a3,"RTL at a large academic center with a high volume of HL patients treated (80 annually) stated that Brentuximab has an important role in the RR setting.  He has began to utilize in the pre-transplant, post-transplant consolidation setting and post transplant and brentuximab failure with great responses seen in all lines.    His preferred regiment in the relapse setting is ICE as salvage therapy common.  He has great success with Brentuximab and Bendamustine combination.  In addition, patient post auto-transplant started bendamustine as single agent in multiple patients with good responses.",0, 4,0.152603,0,0,0,0,0,0,0
uuid-c0219c7492c04a9f9ebcf231a7470736,"NTL commented on the fact that although all H&N HPV+ patients tend to respond better to any treatment, including PD-1 agents, attributed this further perhaps to Tregs not seeming to have the same negative impact for HPV+ patients as it does for HPV- patients",0, 7,0.252484,0,0,0,0,0,0,0
uuid-026cb0466d75472b895d54d0ecdd2d1c,"Discussion at academic symposium in regards to pseudo-progression that is noted on scans done during treatment.  Many in the room under the impression that the ""flare"" that is seen on the scans is not actual progression but caused by the effect or MOA by PD-1 inhibitor.  NTL informed the group that only 5-10 of the time will it be pseudo-progression and most of the time it is progression.  More so with Melanoma and Lung and less often with lymphoma.",0, 10,0.0215593,0,0,0,0,0,0,0
uuid-809f89edaaa649e1a7b91cd7a959148c,NTL stated he does not feel pseudoprogression is an issue in H&N cancer (only truly in melanoma) and he would not expect that giving a PD1 agent prior to RT would increase the incidence of pseudoprogression although he has had debates with colleagues around this potential issue,0, 7,0.0917051,0,0,0,0,0,0,0
uuid-6009ae435e4b4ee886e7d40adb1ea9f6,"TL stated the problem with getting patients on GBM or other trials with brain mets is the length of time to get a definitive diagnosis from pathologist, especially if the tumor is evaluated by community pathologist.",0, 7,0.145451,0,0,0,0,0,0,0
uuid-8961a7ccc1e24ea3bdc8d61128f621fa,"NTL spoke about a couple of ongoing pembro trials attempting to define the ""window of opportunity"" regarding the timing of dosing of pembro in the neoadjuvant and/or adjuvant setting; specifically mentioned NCT02296684, goal accrual n=46, currently 16 accrued and are assessing biopsies of patients throughout the course of the study to look at immune cells within the tumor microenvironment in attempts to better understand when the ideal window of opportunity might be",0, 7,0.139974,0,0,0,0,0,0,0
uuid-1a745b1e616b48cabd007cbb0b8f8536,"NTL quoted that PD-1 data in H&N cancer (didn't specify what agent) is the breakthrough of the decade however when attempting to distinguish PD1 vs PDL1 agents, ORR is a terrible efficacy endpoint to use for I-O agents and the focus should be on OS",0, 7,0.0327149,0,0,0,0,0,0,0
uuid-acf81ec04c5242508b39fd70473245a1,NTL voluntarily shared that KESTREL is accruing well and they expect it to be done by year-end; KN-048 not yet done but could be this year with potential to see pembro monotherapy in the 1L R/M SCCHN setting,0, 7,0.198944,0,0,0,0,0,0,0
uuid-7903b7d1d3e14e05a7c5a3d217292b98,NTL felt that adding nivo to CRT in H&N cancer won't have a significant increase in benefit and perhaps it would be more beneficial to look at nivo with RT alone (referenced data with cetuximab+CRT vs. Bonner study of cetux+RT),0, 7,0.105163,0,0,0,0,0,0,0
uuid-c91f3521ed5c47f0876c04c08e2012ab,"NTL felt that when considering the order of how to sequence a PD-1 agent and RT in H&N cancer, it was best to give concurrently however the length of treatment needed to be better defined",0, 7,0.158237,0,0,0,0,0,0,0
uuid-4d9692ac1de741b6a9c2715556b23690,NTL stated that buparlisib is the most promising targeted agent currently being researched in H&N cancer with a 40% ORR being extremely remarkable for this patient population,0, 7,0.0915439,0,0,0,0,0,0,0
uuid-6eabf34c80494e9f80be9fa8ac8ab2f7,NTL commented on high RR with PI3K inhibitor (buparlisib) has nothing to do with mutation and he would not be surprised if they find that on further analysis of the data; he feels as if their data is strong enough for them to consider filing soon,0, 7,0.071027,0,0,0,0,0,0,0
uuid-764c4a3f3a9b4dce9413ff0d49051afc,"Path TL states there have been 200 lung cases tested reflexively in the last 6 months
-TL reports that less than 10% of lung cases seen have had 50% PD-L1 expression or higher",0, 12,0.101906,0,0,0,0,0,0,0
uuid-75a4a9ee58024d129a0c7dfee10663bc,"Path TL believes that if the sample is above 30% positive expression patient will respond to therapy
-TL believes that PD-L1 is a terrible biomarker so if the oncologists wants the patient to be positive, then TL considers over 1% pretty much the same as 5% or 30%
-TL stated that we take for granted the origin of biopsy tissue, expression heterogeneity, and the preanalytical factors",0, 12,0.108069,0,0,0,0,0,0,0
uuid-70075c58d0024adb85e7c74312baae32,"Path TL (NCCN panelist) stated that there are two groups of people on the NCCN board, the majority is all oncologists that want more PD-L1 guidance and higher category of recommendation in the guidelines and there is a minority (including the TL) and some other oncologists who are more conservative and feel that there is not enough information to raise the category and more data and time is needed
-TL stated that it is much harder to reverse something so it is better to be cautious",0, 12,0.0877861,0,0,0,0,0,0,0
uuid-d1118839faa149a793102caa80fb8ed0,"Path TL stated they do PD-L1 testing on all types of tissue and cytology samples except for smears and do not require a minimum of exactly 100 tumor cells
-Path TL said that 95% of the time there is no matching H&E slide and therefore it can be hard to know what they are looking at (macrophages etc.)",0, 12,0.0648929,0,0,0,0,0,0,0
uuid-65fb1555cd494070b16d13e2a1841566,Academic TL mentioned the community lung TLs are testing for PDL-1 because they believe pembro is more effective in PDL1+ patients.  He said that because we do not need to test there seems to be a perceived absence of benefit in the positive expressers.  He stated that when he shared with the community TLs BMS's data in the PDL1 >5% and >10% they were very surprised and frustrated to why they have not heard of the data but will likely switch to nivo.,0, 5,0.0740214,0,0,0,0,0,0,0
uuid-6635fa7666224f3bb16e41cc8faa2404,"SCCHN RTL believes that nivo and pembro are similar in efficacy, but does not feel confident in the use of durva based on frequency of re-radiation observed her patients on trial.  RTL also feels that while EXTREME is standard of care it's unfortunate to see 1L studies using the regimen as a comparator arm as patients often discontinue due to severe toxicity.",0, 5,0.2018,0,0,0,0,0,0,0
uuid-4b6441222f444b6f8a94926d84166b96,"Path TL states that there were a few 22C3 requests when pembro was approved 1L but once the oncologists were educated in PD-L1 testing they were ok with E1L3N LDT
-TL states that if reimbursement doesn?t care about the antibody or assay then bringing in-house an FDA-approved IVD is not necessary",0, 12,0.0617152,0,0,0,0,0,0,0
uuid-81111d213dd742fba82c7713d909278e,TL interested in studies looking at Nivo in transplanted (per ACC guidelines) patients who may be at risk of developing secondary malignancies.  TL sees a huge need there that's not being addressed.,0, 5,0.110027,0,0,0,0,0,0,0
uuid-bcd42b8658fa409c8014660575b3a64d,"Front Line SCCHN trial : Why did BMS pick EXTREME as the comparator, NOBODY tolerates that regimen!",0, 5,0.105047,0,0,0,0,0,0,0
uuid-78da20067d0143448999c31f69e8c435,HCP thinks that with the immune agents medical science can explore cures instead of only trying to palliate disease and extend life for short periods of time.,0, 5,0.134153,0,0,0,0,0,0,0
uuid-604a8b8ea4454351be799ed15001c362,TL thinks that the most positive aspect of NIVO other than the efficacy is the easy administration.  There are few concerns about the short and relatively uneventful IV administration.,0, 5,0.11338,0,0,0,0,0,0,0
uuid-c2acc4b8265f4b79a57b8765792236fc,"A TL from the Boston area made the following comments around irRECIST in NSCLC treated with Nivolumab. There was a correlation between site of tumor. Example, liver mets had less overall response, vs. adrenal lesions had the most overall response.",0, 6,0.0577525,0,0,0,0,0,0,0
uuid-5782d6a1e04d4cd2a03042b17173e10c,"A key oncologist from a New England academic hospital shared information on his thinking and his clinical practice in managing IO agents in patients with endocrine-related immune-mediated adverse reactions.  In his opinion, adverse events affecting the endocrine organs such as the thyroid and pituitary glands can be managed by administering the appropriate hormone replacement with discontinuing the IO agent.  He believes that value provided by IO agents including the potential for a complete remission is too important to sacrifice to avoid an adverse event that can be easily managed.",0, 12,0.00841034,0,0,0,0,0,0,0
uuid-247e10e94bf3457185a95c046732b38b,Advisor to the H&N NCCN panelist in the midwest stated their system typically uses in the LA SCCHN 1L HPV + setting surgery followed by adjuvant chemotherapy.,0, 6,0.0528346,0,0,0,0,0,0,0
uuid-03df22a7be4b437082b5ded64ff79247,Advisor to the H&N NCCN panelist in the midwest stated that the revisions to the most recent guideline update is due at the end of June.,0, 6,0.00289028,0,0,0,0,0,0,0
uuid-fed86649b05c44d1a618f7c5ef92246a,Local RCC TL commented that cabo and lenvatinib will be reserved for post nivo.,0, 6,0.133285,0,0,0,0,0,0,0
uuid-92a060bab5114bdda0f3a1622312caba,"Local RCC TL said that if a patient failed a VEGFi first line but had at least a year of response to it, he would consider trying another VEGFi that targets another pathway in addition to VEGF, such as PDGF as second line therapy. He said that if a patient failed a VEGFi right off the bat and blew through it, he would then switch to nivo. He also mentioned that if a patient has very high burden of disease right after failing first line, he might consider lenvatinib + evorolimus in that patient before IO.  Indicated that there may be 20% will fail first line and fail big with significant bulky disease, therefore he would use combo for this type",0, 6,0.190615,0,0,0,0.0175942128912,0,0,0
uuid-2107c8f771de4a7290749f27f4941a5a,"I?ve met with several community TLs at different locations recently who have been ?underwhelmed? by Nivo responses mainly in NSCLC.  The discussions were very similar across TLs making me think its competitor strategy.  TLs stated they have treated a number of pts with either no responses or 1 response.  For this reason, they?ve decided to test for PDL1 status and their next pt they?re treating with Pembro to see if it will increase likelihood of response.  Reactively discussed -057 and KN -010 data and the several TLs changed their mind favoring Opdivo in the PDL1 expressors and wasn?t aware of the depth of our data in PDL1 expressors.  A couple of TLs stated they were going to try Pembro ?just to get some experience with the drug?.  Also, did some probing and turns out their ?n? was small, some pts had prolonged SD, but their overall initial impression was negative.",0, 6,0.175506,0,0,0.492849179258,0,0,0,0
uuid-d83d4bceb6834c489429c222028edefc,Local RCC TL said that he heard that there is a study of anti-PD1 plus anti-PDL1 being done in RCC. He said he thinks it is EMD Serono (anti-PDL1) and Regeneron (anti-PD1).,0, 6,0.0143788,0,0,0,0,0,0,0
uuid-ba32adc0a9124d1197064e63bc460092,"RCC TL and I discussed recent approvals of Cabo and Lenvantinib versus Nivo and how they all will fit into the treatment landscape.  He stated in rapidly progressing pts or pts with significant burden of disease he may go with Cabo. We reactively we reviewed the data from the Motzer ASCO GU presentation discussing outcomes based on key baseline therapies that overall describes the superiority of Nivo in all pt subgroups including poor prognostic risk categories, number/sites of mets, and prior therapies.  We also discussed the dynamics of response with TKIs versus IO agents like nivolumab specifically durability of response and consistent OS advantage across phase 3 studies.  He was impressed with data and stated Nivo is 2nd line SOC in all subgroups plus the toxicity profile for Nivo is far superior to other agents.  This seemed to solidify his preference of Nivo over Cabo in all pts including rapidly progressing pt pop.  Tl was not impressed with Lenvantinb and thought it had significant toxicities in combo with everolimus (late line option).",0, 6,0.189646,0,0,0,0,0,0,0
uuid-5653b9b6544f447ab6c0d8985f82d5c8,Lymphoma NTL from major cancer center in NYC expressed much frustration regarding the fact that important data such as the 205 study was not accepted as an oral but rather just a poster. He went as far as to claim that he was going to ASCO and is now boycotting due to how disappointed and wrong he thought that decision was.,0, 6,0.0748161,0,0,0,0,0,0,0
uuid-af249468d11c4ff0a956b4b77c48b6a8,"Since press release of CABOSUN data, reports of first line use of Cabo at major academic center.",0, 6,0.0546436,0,0,0,0,0,0,0
uuid-7ced9558dca4490f9f0caaf7dbbac71c,"Potential trend of TLs are unaware of depth of data with Nivo in PDL1 expressors and believe keytruda is more efficacious PDL1 expressors.  After reactively discussing the -057 PDL1 data in more detail, TLs tend to change their mind and believe Nivo is superior in efficacy to Keytruda in the PDL1 expressors.",0, 6,0.0734073,0,0,0,0,0,0,0
uuid-101bc79d4ac44ca4bc97a506ec81737f,REgional Hematology TL that treats all hematology stated that he has a patient on OPDIVO for cHL since November. Heavily pretreated and nothing else available and  patient ended up on OPDIVO and doing well still 7 months later.,0, 6,0.142518,0,0,0,0,0,0,0
