Term,Slope,Rank,Tenth term slope,Tenth term rank,Quarter term slope,Quarter term rank,Half term slope,Half term rank
efficacy and safety,-2.04635668233e-06,88,1.42669268991e-06,60,-7.5112805918e-06,75,-2.18231822962e-06,88
small cell lung cancer,1.83173291577e-06,21,4.62520608876e-06,57,-9.72401124236e-07,60,-2.22179835276e-07,55
NTL,4.27614523695e-06,4,-5.65145106803e-05,95,-9.66107894047e-06,79,3.42725024078e-06,3
criteria,-1.09985999536e-06,72,1.19909744148e-05,43,3.71999232608e-06,40,-7.97501863628e-07,72
ongoing,-8.22501303822e-07,64,-1.17485660276e-06,63,-3.56573451886e-06,65,-1.84027912768e-06,86
immune,-8.33735179226e-07,65,2.68265275936e-05,16,6.55237792085e-06,25,-1.4207140012e-06,80
SCLC,2.82644819447e-06,12,-1.33043222443e-05,75,-5.38175455482e-06,71,6.11626690497e-07,24
1L,3.91729049432e-06,9,-5.29006056458e-05,94,-1.20504824815e-05,88,2.60711710978e-06,8
flat dosing,4.16303070164e-07,46,-2.96925238105e-05,84,-1.28297848248e-05,91,-2.56598521557e-07,58
radiation,7.98436214598e-07,35,1.59337601149e-05,38,5.92626625429e-06,29,5.16350232587e-07,28
renal cell carcinoma,2.36526288667e-06,14,1.7995492978e-05,35,2.07449167765e-06,46,-1.22719406555e-07,49
EASL,-2.70382020566e-06,96,-1.7035302513e-05,77,-8.53022710716e-06,78,-2.7947011203e-06,94
patients treated,-2.00476287309e-07,58,3.92980927239e-05,4,6.39517056469e-06,27,-9.63380580159e-07,75
NOACs,-2.42731374824e-06,94,-1.03014357702e-05,73,-1.09719837833e-05,85,-2.31751666514e-06,90
participants,-1.94764973442e-06,86,1.82556410832e-05,33,8.48070476417e-06,14,3.13126231044e-07,37
approved,1.72902542691e-06,25,-5.01361946629e-06,67,-2.33839255918e-06,62,-3.8153620509e-08,46
occur,-1.02449338247e-06,69,2.91921400673e-05,12,7.36078963937e-06,18,-7.11401929695e-07,68
PD-L1 expression,2.30062833923e-06,15,-6.64066955698e-06,68,1.51299289932e-06,49,2.2979419048e-06,9
pts,1.91552634121e-06,18,-5.13549054013e-05,93,-1.68830475951e-05,99,-4.9753749894e-07,64
incidence,-4.9432703592e-07,62,2.17228967405e-05,25,7.97074502807e-07,53,-1.60662499614e-06,84
cohort,-1.74625281515e-06,80,2.61096426351e-05,17,9.49936525933e-06,9,8.48992360518e-07,19
disease progression,-1.54499747378e-06,77,2.86737850102e-05,13,1.0075981696e-05,8,-3.06356085228e-07,61
metastatic melanoma,1.3901943965e-06,28,3.7274439466e-05,5,6.8700186604e-06,24,-6.42222607401e-07,67
mg,-1.84944248471e-06,84,4.8110743081e-06,53,9.81804187036e-07,50,4.50252049122e-07,32
drug,-1.11006483763e-07,56,4.77881603455e-06,55,-5.37336668957e-07,57,-7.61416206258e-07,70
disease,1.62241304821e-07,51,3.55942467239e-05,6,8.52779202992e-06,12,-1.43109502522e-06,81
