Term,Slope,Rank,Tenth term slope,Tenth term rank,Quarter term slope,Quarter term rank,Half term slope,Half term rank
nivolumab,-3.97552975368e-06,81,6.15064327548e-05,14,3.66333069878e-06,49,-2.84224651406e-06,80
MIRF Email Body,-9.26092294266e-08,55,-3.38959863877e-05,91,-1.11254639436e-05,86,2.16690642805e-06,45
MD,-3.11442898884e-06,76,4.30627148346e-05,36,5.58923344393e-07,60,1.68321677637e-06,49
fax has arrived from remote ID,-9.09772264433e-06,93,1.17498676562e-05,70,-1.30229377416e-05,93,-4.77292400966e-06,87
Ave,1.52578318045e-06,38,4.72391327482e-05,27,1.15230220449e-05,37,2.77159081721e-06,36
Yes AE/Pregnancy,5.13995105284e-06,12,4.55052053958e-05,30,2.44325093635e-05,5,1.17238078374e-05,10
Oncology,-2.84778532242e-06,73,3.06055484422e-05,50,1.82436913133e-06,55,-7.95871079818e-07,64
pharmacist,-2.98356067737e-06,74,4.96189159034e-05,24,1.35114985765e-05,31,-7.55428079299e-06,92
Inbound user ID DID2001,-5.84558468986e-06,86,3.58278274398e-05,43,-7.95785002585e-06,76,-8.43687885982e-06,98
routing code 2001 Result,-4.72950096684e-06,83,3.38021146542e-05,46,-7.51662919207e-06,74,-8.08892385408e-06,96
BMS,-5.87209049397e-06,87,6.55004466135e-05,11,1.34381689078e-06,57,-3.58089116814e-06,86
ID,-7.02008053976e-06,90,3.58254960375e-05,44,-8.37461153252e-06,77,-8.23880419922e-06,97
medical.communications@bms.com,-1.6362793454e-05,100,4.11149877139e-06,73,-2.89289664417e-05,100,1.07420625317e-06,55
Communications,-1.47707145868e-05,98,3.26117394461e-06,74,-2.64074971677e-05,98,1.16374782572e-06,54
1 Elapsed time,-2.54983450376e-06,70,2.2507459021e-05,64,-7.77806420748e-06,75,-6.84665596838e-06,90
Dr.,2.57951049388e-06,26,6.9370414048e-05,8,2.22785652398e-05,9,1.3046202418e-05,7
PM,-1.47289441726e-05,97,1.24987445435e-05,69,-2.39613691775e-05,97,1.27024894061e-06,52
MIRF,-4.84056628549e-06,84,-1.5264811972e-05,78,-1.28712891132e-05,91,2.82269376947e-06,35
remote,-7.50628714015e-06,91,3.03277727429e-05,51,-8.64511292816e-06,79,-7.88268210154e-06,94
PM Transmission Record Received,-8.05838070561e-06,92,2.55407721618e-05,59,-9.41290875482e-06,80,-7.20151514615e-06,91
info,-2.10374078317e-06,67,6.80689976806e-05,10,9.14926200063e-06,43,2.8158998813e-07,57
RN,-9.47976868707e-07,61,1.45225047026e-05,67,7.81497126484e-07,59,-2.47711847219e-06,75
Success Page record,-3.62662213511e-06,79,2.93497275232e-05,54,-7.46128300729e-06,73,-7.58526785702e-06,93
regarding,-1.95208970409e-06,66,5.50732915187e-05,18,2.72947838697e-06,53,1.26245540918e-06,53
NSCLC,-1.66319477785e-07,56,8.99686623993e-05,3,1.49201051552e-05,27,-9.62788204541e-07,67
NY,2.33723664874e-06,27,5.06933262444e-05,21,1.37889576553e-05,30,4.06024066986e-06,33
lung,8.92608344443e-07,47,8.20721490879e-05,7,1.6179623177e-05,21,2.3125661067e-06,42
Subject,-1.54803884358e-05,99,2.25470024738e-05,63,-2.69053103536e-05,99,1.35707584758e-06,51
Sent,-1.43783677568e-05,96,2.47928936864e-05,60,-2.0938242141e-05,94,2.41973661339e-06,41
copy,5.93184493718e-07,50,1.39049244669e-05,68,-1.9979426062e-06,64,2.59083738243e-06,39
pt,-3.33213660317e-06,77,6.90417103042e-05,9,1.4158163832e-05,29,-1.03061696686e-05,99
recipient,2.59795573278e-09,54,6.4822267835e-06,71,-5.56583677688e-06,70,-9.08360812427e-07,66
Rd,1.50881793905e-06,40,4.37460489695e-05,34,1.00214120158e-05,40,2.25511929137e-06,44
Cc,-1.20072435001e-05,95,1.80166676331e-05,65,-2.24186071929e-05,96,2.26372606134e-06,43
FL,1.78592187557e-06,37,4.99487645592e-05,23,1.2269043247e-05,34,2.73340801543e-06,37
lung cancer,-1.42067880001e-06,64,9.111798552e-05,2,1.89423013263e-05,17,-6.18902637132e-06,88
medical.communications@bms.com Email Subject,-3.09196015497e-06,75,-1.83558243743e-05,79,-9.63230876352e-06,81,1.86566040841e-06,47
confidential,-4.80064794742e-07,59,5.21022919145e-06,72,-6.6367308609e-06,72,-2.52401090832e-06,76
Country,1.84581124797e-06,36,-2.871120836e-05,87,-5.12604205773e-06,68,-4.61180818371e-07,61
use of Opdivo,2.72897137225e-06,25,8.3762808274e-05,6,2.10788559401e-05,13,5.29914629594e-06,29
slides,-3.22132083907e-07,58,2.95689436441e-05,52,-3.4526432637e-06,66,5.65749928103e-06,28
US Phone,5.00314646124e-06,13,4.5202553926e-05,32,1.91402136865e-05,16,9.24174095515e-06,17
TX,-1.17436162127e-06,63,5.70630556607e-05,17,9.20923542992e-06,42,-3.31909994749e-06,85
Blvd,1.48157909486e-06,41,4.41798902711e-05,33,1.009383405e-05,39,2.67320313809e-06,38
CA,2.17983810297e-06,28,6.21225677775e-05,13,1.61377868128e-05,22,4.44358783578e-06,32
onegma_rightfax_106@webmail.bms.com Email Subject,-6.27695698261e-06,88,-3.61670580131e-06,75,-1.03939408071e-05,85,-2.24543213272e-06,73
Begin forwarded message,-5.25243756092e-06,85,2.47534324832e-05,61,-1.28810311036e-05,92,3.02858505716e-06,34
nivo,-7.53213363554e-07,60,5.25669285778e-05,19,1.19566328617e-06,58,7.88207789729e-07,56
Bristol-Myers,1.36839538036e-06,45,-3.67825956536e-05,93,3.61025837382e-06,51,6.07527318154e-06,26
clinical trials,-1.16341878355e-06,62,8.68893453795e-05,5,1.44454395079e-05,28,-2.62931810994e-06,77
Suite,-2.97834212048e-07,57,4.73292687688e-05,26,8.7676187837e-06,44,-1.46752795199e-06,70
Squibb,1.42823025606e-06,44,-4.19661337764e-05,95,4.3318992394e-06,47,5.79358391997e-06,27
PA,1.34949060349e-06,46,4.30566140014e-05,37,1.06913867204e-05,38,1.40540704037e-06,50
